Player,Deck,Rank
JOAO QUEGE,Boros Dragons,1
Isael Feitosa,Mono-Green Aggro,2
Rodrigo Pinheiro,Azorius Tempo,3
Borreguinhas,Mono-Green Landfall,4
Victor Santos Esquici,Dimir Combo,5
GuillermoLoli,Mono-Green Landfall,6
Carlos Torrico,Dimir Tempo,7
Adriano Melo,Izzet Lessons,8
Rastaf,Dimir Demons,9
Patricio Roman,Izzet Lessons,10
ariranhasx,Dimir Demons,11
Luis Navas Flores,Mono-Red Aggro,12
Siiu911,Mono-Green Landfall,13
Thiago Saporito,Dimir Midrange,14
Lucas Fernandes,Simic Ouroboroid,15
Guilherme Vinicius Fragoso De Souza Guivini06,Izzet Tempo,16
guiyote,Azorius Tempo,17
Everton Julian Silva Goulart,Rakdos Aggro,18
Marco Figueroa,Boros Dragons,19
Marcelo Rodrigues Cavalcante,Dimir Midrange,20
RALC,Dimir,21
Martin Dominguez,Gruul Aggro,22
Mario Palma,W-U-B-R-G,23
Emanuel Sutter,Azorius,24
Gabriel Fehr,Dimir Demons,25
Camilo Niño,Dimir Tempo,26
Marcos Paredes,Mono-Green Aggro,27
Andres Vásquez,Gruul Landfall,28
Jorge Aguirre,Azorius Tempo,29
Sebastián Silva,Simic Aggro,30
Jhohan Mauricio Herrera Molina,Dimir Midrange,31
Ariel Cicchitti,Dimir Demons,32
gabriel martinez,Mono-Green Midrange,33
julianpastoriza,Jeskai Control,34
Charlesz,Izzet Lessons,35
aloaiza23,Jund Aggro,36
Diego Eneas Garcia,Bant Airbending,37
Davi Mangolin Filho,Bant Combo,38
Thiago Souza,Izzet Lessons,39
LuisVenegas,Izzet Lessons,40
Sebasmoncada,Izzet Monument,41
Manuel Quiroga,Mono-Red Aggro,42
Freddy  Paredes [Team Dominus],Dimir Midrange,43
Jayme,Boros Aggro,44
Nicolas Morales Macaya,Gruul Landfall,45
Rodrigo Muñoz,Azorius,46
Jonas Antunes,Dimir Combo,47
Hernan_Lobos,Gruul Aggro,48
Ismael Lessa,Dimir Tempo,49
JaackySalvati,Izzet,50
Marcelo López Lagos,Dimir,51
Felipe Schnyder,Simic Aggro,52
Emiliano Passoni,Gruul Landfall,53
MarcoAurelioLima,W-U-B-G Ouroboroid,54
Xecuter,Temur Omniscience,55
Antonio Lucas Longo,Izzet Combo,56
Brahiam,Azorius Tempo,57
Thiago Valle dos Santos,Bant Ouroboroid,58
Dihuen,Dimir Reanimator,59
Mariano de Gregorio,Dimir Midrange,60
MaximilianKalm,Mono-Green Landfall,61
Julio Bejarano Espejo,Dimir Midrange,62
