Player,Deck,Rank
AdamSchwartz,Dimir Midrange,63
axeljami,Mono-Green Aggro,64
Lucas Lupatini,Dimir Midrange,65
João Jorge Sales Junior,Dimir Control,66
Gabriel Castelo Garcia,Izzet Lessons,67
SirClaudio,Dimir Tempo,68
Francisco Bertomeu,Izzet,69
André Faustino,Dimir Demons,70
Xandre_Borges_,Dimir,71
ailechan,Dimir Tempo,72
Lucas Hervás,Mono-Green Landfall,73
El_Comediante,Temur Combo,74
kbsAA,Jeskai Control,75
camilo Diaz Pineda,Simic Aggro,76
Ricardo Ramos,Simic Ouroboroid,77
Gasser Abdeslam,Izzet Otters,78
Diego Almeida,Rakdos Monument,79
FelipePola,Mono-Red Aggro,80
tchuco,Golgari Midrange,81
Fellipe Emar,Sultai Reanimator,82
Gustavo Fischer,Selesnya Landfall,83
alikaik11,Dimir Midrange,84
CaioAraujo999,Izzet Tempo,85
magicmam,Mono-Green Aggro,86
magic_zaraka,Gruul Landfall,87
Denis  Cabral Barbosa Dias,Boros Dragons,88
Pedro Paulo Albuquerque Caraciolo,Dimir Demons,89
Juan Cruz Rodriguez Berjolis,Dimir Midrange,90
Danilo Almeida,Rakdos Monument,91
André Ramos Lima,Boros Aggro,92
Agustin Diaz,Jeskai Control,93
Carlos Morales U,Izzet Lessons,94
GUSTAVO CORAIOLA,Mono-Green Landfall,95
Lauro Olsen,Dimir Control,96
CarlosR41,Rakdos Monument,97
Erichartman,Izzet,98
Estêvão Rudi Arntz,Izzet Lessons,99
LuckZebra,Jeskai Artifacts,100
Eljuano,Mono-Green Landfall,101
julianofofo,Mono-Red Aggro,102
RODRIGOO,Mono-White Tokens,103
Lucas Rodriguez,Izzet Aggro,104
RodolfoZuinConstantino,Bant Combo,105
Andyu,Dimir Midrange,106
TIAGO  PINHEIRO,Azorius Tempo,107
Carvallo Tomas,Temur,108
SrLukas158,Boros Dragons,109
Mendez,Izzet,110
Mircho,Golgari Midrange,111
Pedro Gonzalez,Azorius Control,112
Dustyn_Aranda,Dimir Demons,113
hendrik21,Dimir Midrange,114
Spribnow,Dimir Control,115
oscarlevel152,Dimir,116
JMoreirasn,Izzet Tempo,117
EduCarSan,Jeskai,118
Agustin Colombo,Dimir Demons,119
Luís Felippe Rossello Lima,Izzet Lessons,120
Daniel Lopez,Rakdos Aggro,121
hachenova,Izzet Midrange,122
Mauricio Iriarte Valenzuela,Dimir Midrange,123
guisantana2,Azorius Tempo,124
_ZNT_,Izzet Lessons,125
Andrés Camargo,Gruul Landfall,126
zerokangs,Sultai Midrange,127
DarioVergara,W-U-R-G Omniscience,128
Christian Calcano,Izzet Lessons,129
shootMeInTheLeg,Izzet Aggro,130
Javier Núñez,Gruul Landfall,131
LordSoth03,Sultai,132
NicholasPohren,Dimir Control,133
guiadissy,Temur,134
MARCOSHBF,Mono-Green Landfall,135
Diego Galaz,Izzet Lessons,136
NicoDays,Izzet Aggro,137
Yulios,Dimir Midrange,138
tony15974,Izzet Midrange,139
Bruno Volpato,Gruul Aggro,140
criacuna21,Jeskai Control,141
Adrien Venancio,Simic Ouroboroid,142
JoanCoussy,Temur Midrange,143
Tiago Bittencourt,Izzet Tempo,144
KaszD3G,W-U-B-R-G Aggro,145
p4nch020,Azorius Tempo,146
Prezin,Dimir Control,147
Jhonatan Restrepo,Izzet Control,148
Francisco Gonzalez,Izzet Prowess,149
Diego Quintero,Izzet,150
Jimmyto Lara,Dimir Midrange,151
Sebastian Cantor,Mono-Red Aggro,152
Daniel Moncada Tabares,Grixis Reanimator,153
Fernando Passos,W-U-B-G Midrange,154
RaulS,Izzet Combo,155
Daniel Fernandez [TeamDominus],Izzet Blink,156
Gibaft,Sultai Reanimator,157
AlexBanacloy,Boros Aggro,158
gabrielstone,Simic Ouroboroid,159
Rudá dos Reis,Izzet Lessons,160
Viniimato,Jeskai Artifacts,161
Mateus  de Carvalho,Jeskai Control,162
Federico Giardini,Simic Aggro,163
lshiga,Mono-Green,164
CamiloRojas,Dimir Tempo,165
Walter Coquemala Filho,Temur Combo,166
Francisco ignacio andres Vargas ortiz,Izzet Monument,167
Thiago Odasaki,Temur,168
LucasRJ,Izzet Lessons,169
ThiagoPG,Dimir,170
Andres Cifuentes,Azorius Flash,171
🙉 Caio Errerias,Jeskai Control,172
Agnaldo dos Santos Teixeira Junior  Gnarr,Dimir Control,173
Eddie Dominguez,Izzet Looting,174
Arthur Alves da Silva,Dimir Midrange,175
Luis Montaña,Dimir Midrange,176
Guilherme Guedes,Sultai Reanimator,177
Darwin Fuenzalida,Izzet Bounce,178
Leonardo Lambiasi,Temur Combo,179
Rodrigo Muñoz Gómez,Boros Aggro,180
Renan Carrion,Boros Dragons,181
LuisGutierrez,Dimir Midrange,182
VBocchS,Dimir Midrange,183
Francisco Vega,Rakdos Midrange,184
Rudzilla_Rudson,Izzet Prowess,185
Kathalarr,Dimir Midrange,186
Matheus Cunha,Sultai Midrange,187
Julian Prado,Azorius Tempo,188
Carlos Medina,Dimir Combo,189
LuGoCa,Temur Combo,190
lobao,Golgari,191
Gabriel Saba,Izzet Lessons,192
José Carlos Lanzarotti Junior,Mono-Red Aggro,193
Andre Hassan,Grixis Demons,194
Pablo Cuello,Dimir Combo,195
Bastian Muñoz Pizarro,Azorius Control,196
Vinícius Karam,Dimir Demons,197
managa,Dimir Midrange,198
Redxfire,Dimir Tempo,199
Catunda,Izzet Midrange,200
Glauber Teixeira,Sultai Combo,201
Jean Zveibil,Izzet Lessons,202
Felipe Machado,Izzet Lessons,203
leandro bujones,Jeskai Control,204
Doblep,Dimir Midrange,205
Claudinei Brasil Jr,Mono-Red Aggro,206
Vinicius447,Izzet Lessons,207
ERON MOGGIO,Jeskai Control,208
joaoclaudioms,W-U-B-G Lessons,209
Marcos Santos,Dimir Combo,210
222maxi222,Jund Aggro,211
