Player,Deck,Rank
Travis Fredrich,Rakdos Monument,719
Floodle,Izzet Spellementals,720
Joseph Pastore,Simic Rhythm,721
Josh Lukas,Izzet Lessons,722
AndrewHuber,Bant Omniscience,723
Javier Ramos,Dimir Control,724
jimaracich,Azorius Control,725
Andrew Hakenewerth,Izzet Lessons,726
Nicholas Overmyer,Jeskai Prowess,727
Timothy Gruneich,Simic Rhythm,728
Tye Bryan,Izzet Lessons,729
Michael Hobbs,Jeskai Control,730
Edward Halbe,Izzet Elementals,731
Ethan Stensrud,Selesnya Landfall,732
Albert Liao,Dimir Oculus,733
Kezia ⛏🐛,Simic Rhythm,734
David Kaufman-Bell,Mono-Red Aggro,735
Leo Cooper,Esper Pixie,736
Giovanni Chisci,Izzet Lessons,737
Austin Graham,Izzet Lessons,738
"Nick ""The Honse Man"" Roller",Mono-Green Landfall,739
loothound,Temur Harmonizer,740
Nathan Potter,Rakdos Monument,741
80HD,Bant Airbending,742
Austin Eslyn,Dimir Excruciator,743
ZacS17,Azorius Tempo,744
Anthony Boxleiter,Izzet Dragons,745
Typhoon,Mono-Green Landfall,746
AndrewKieser,Azorius Tempo,747
Benji Leaf,Rakdos Monument,748
Mreyes,Azorius Tempo,749
Mason Grode,Golgari Midrange,750
Matthew Robinson,Dimir Midrange,751
JeanCastillo,Golgari Rhythm,752
Romulus731,Boros Aggro,753
Sean Flynn,Izzet Blink,754
Brian Reagan,Izzet Spellementals,755
Christopher Wright,Bant Airbending,756
Zach Brown,Azorius Tempo,757
Nigel Hagley,Izzet Lessons,758
CruK,Bant Omniscience,759
Jacob Havard,Izzet Prowess,760
Anthony Dennis,Simic Rhythm,761
Carl Reuschel,Mono-Green Landfall,762
Nazar Tash,Azorius Otters,763
Ethan Callahan,Izzet Elementals,764
AdaW30,Azorius Control,765
Dan Kamvakis,Izzet Blink,766
Dwmathena,Izzet Elementals,767
John Lohr,Izzet Lessons,768
natek,Jeskai Control,769
Jesus Ramos,Mardu Control,770
Gene Friedman,Dimir Midrange,771
Joelle K,Sultai Reanimator,772
James Spinelli,Izzet Spellementals,773
Taidhg Tajalli,Mono-Red Aggro,774
Dallas Dick,Temur Rhythm,775
ColtonMang,Dimir Bounce,776
Justin Fink,Simic Omniscience,777
Junyuan Zheng,Temur Harmonizer,778
obscurity,Izzet Prowess,779
S4rkh4nUnbr0k3n,Orzhov Control,780
Robageddon,Golgari Control,781
LizardWizz,Izzet Elementals,782
John Ramsey,Simic Rhythm,783
Brett Eischens,Simic Rhythm,784
Matt Crews,Mono-Green Landfall,785
DargonDestroyor,Simic Rhythm,786
Jadey Davidson,Mono-White Tokens,787
Jacob Cupp,Mono-Green Landfall,788
Chris Weissmann,Dimir Midrange,789
Micah Larrow,Izzet Elementals,790
Logan Tina,Boros Aggro,791
Brad Bonin,Izzet Lessons,792
ChrisSalguero,Temur Rhythm,793
Justen Kim,Dimir Excruciator,794
Slax,Grixis Elementals,795
A. Adams,Izzet Lessons,796
Joshua Griffith,Esper Pixie,797
Jonathan rubin,Dimir Excruciator,798
Brendan Brown,Temur Harmonizer,799
Drew Herr,Simic Rhythm,800
Michael Martin,Izzet Spellementals,801
LEE STEHT,Grixis Elementals,802
Bretthiggins3,Izzet Spellementals,803
Casey Ryback,Mono-Green Landfall,804
teddydrev,Dimir Excruciator,805
Brandon Hankal,Izzet Lessons,806
Ben Fauerbach,Dimir Excruciator,807
tchungath,Temur Harmonizer,808
william mccurdy,Esper Control,809
Dairion Hartshorn,Azorius Tempo,810
Raymond Kao,Izzet Lessons,811
Taylor Wingard,Temur Harmonizer,812
rickbass,Jeskai Control,813
rprince6582,Sultai Rhythm,814
Tyler Stechman,Dimir Midrange,815
david Russo,Mono-Green Landfall,816
Adrian Marquez,Mono-White Aggro,817
Finnkk,Rakdos Goblins,818
Jim Chin,Mono-Green Landfall,819
Ryan Jiang,Izzet Lessons,820
John Aloi,Temur Battlecrier Combo,821
BennettMosteller,Dimir Midrange,822
jaroach3,Jeskai Oculus,823
Cody Johnson,Rakdos Monument,824
Issac Koehler,Azorius Tempo,825
largefish,Rakdos Aggro,826
Jacob Koshak,Azorius Tempo,827
Gage Hergert,Dimir Midrange,828
Jorbet,Sultai Elementals,829
Weem0,Rakdos Monument,830
Zachary McMicheaux,Azorius Control,831
Jaydell,Izzet Prowess,832
Shawn Holloway,Izzet Spellementals,833
Nicholas Castro,Dimir Spellementals,834
cftsoc,Temur Harmonizer,835
Skylar Liekhus,Simic Rhythm,836
WarlockTiny,Azorius Tempo,837
Stanley Hartman,Mono-Red Leyline,838
Haoshoku,Esper Control,839
Charles Pierce,Izzet Blink,840
HastyTasty,Izzet Lessons,841
BrentM,Izzet Blink,842
Steven Yean,Dimir Excruciator,843
Alexander Beebe,Temur Harmonizer,844
ReplayRyan,Jeskai Artifacts,845
Sam Peagler,Izzet Lessons,846
Gino Bautista,Mono-Red Aggro,847
Adam Beyer,Dimir Excruciator,848
Morrie Cunningham,Temur Rhythm,849
Blake Thomas,Dimir Excruciator,850
HalfCafJason,Dimir Excruciator,851
Colton Haas,Gruul Landfall,852
LAWRENCE MCKEE,Boros Dragons,853
Christopher Juliano,Boros Dragons,854
Justin Crozier,Izzet Spellementals,855
ChaseM,Boros Artifacts,856
Maximilian Sagraves,Simic Rhythm,857
Dan Caskey,Dimir Excruciator,858
Justin Martinez,Izzet Lessons,859
21cb,Bant Airbending,860
jrfitz09,Jeskai Control,861
Chad Leiske,Izzet Lessons,862
KadenWood,Sultai Reanimator,863
Adam Weiss,Izzet Lessons,864
Alex Gimmi,Izzet Lessons,865
Indy Whitaker,Simic Rhythm,866
Pierson Geyer,Boros Dragons,867
Michael Madsen,Izzet Elementals,868
hevacte,Azorius Control,869
Jacob Osborne,Jeskai Control,870
Lucas Miller,Simic Rhythm,871
Ben A Miller,Azorius Control,872
a47cc7a64be44be48b628fb38231db82,Bant Airbending,873
Steven Browne,Izzet Blink,874
jost7,Dimir Control,875
Marcus Davanzati,Izzet Spellementals,876
Scottie Taylor,Izzet Lessons,877
BADOPM,Esper Pixie,878
George Funk,Dimir Midrange,879
Logan Huskins,Boros Dragons,880
Matt Nass,Bant Airbending,881
Rainmaker,Dimir Midrange,882
Ian Wolf,Azorius Tempo,883
Charles Greene,Dimir Midrange,884
Terry May,Dimir Excruciator,885
Brendyn Divine,Dimir Control,886
acairns,Gruul Landfall,887
Benjamin Holdren,Simic Rhythm,888
John Hall,Temur Harmonizer,889
DanT39,Izzet Lessons,890
Nate Muhlbach,Simic Rhythm,891
HenryKnuth,Izzet Elementals,892
Shane Grayson,Dimir Midrange,893
Andrew Mahieu,Mono-Green Landfall,894
Zachary Singer,Dimir Control,895
Geoff Mullin,Mono-Green Landfall,896
JULES SERATT,Bant Airbending,897
Michael Freeman,Bant Airbending,898
Matthew Abdy,Bant Cage,899
Blake Mcaleavey,Dimir Excruciator,900
Jacob Franz,Mono-Red Aggro,901
jaytonater,Rakdos Monument,902
ParH3,Five-Color Rhythm,903
Jakob Heckert,Azorius Tempo,904
Robert Hayes,Simic Rhythm,905
Qiaoyu Zhang,Bant Airbending,906
Crazycat,Boros Dragons,907
Tyler Mantey,Azorius Tempo,908
Mikhail Brawner,Sultai Reanimator,909
Michael Bernat,Dimir Midrange,910
Robert Strong-Morse,Simic Rhythm,911
Zach Spors,Izzet Prowess,912
TylC31,Izzet Lessons,913
Alec Simmers,Boros Aggro,914
Matthew Bonura,Bant Airbending,915
Ron Barutha,Boros Artifacts,916
Eli Mizock,Grixis Monument,917
Andrew Bader,Izzet Lessons,918
g0tx3m,Temur Harmonizer,919
Nick Maley,Izzet Lessons,920
BreC23,Simic Rhythm,921
badonnersbach,Sultai Reanimator,922
Michael Mascilak,Dimir Midrange,923
Jett Pinckard,Mono-Green Landfall,924
paul richards,Orzhov Midrange,925
Matthew Mckenzie,Selesnya Cage,926
DawsonA,Boros Dragons,927
Duncan Carter,Izzet Lessons,928
Austin Bench,Izzet Lessons,929
Daniel Lebben,Mono-Green Landfall,930
SnackTeamSix,Simic Rhythm,931
Montgomery Knifer,Izzet Spellementals,932
Pickle3500,Izzet Lessons,933
JamE10,Mardu Dragons,934
Trystan Alexander,Izzet Elementals,935
Julian Weiswasser,Mono-Green Landfall,936
Caleb Mears,Dimir Midrange,937
Quantumgrind,Esper Oculus,938
Fred Davis,Izzet Spellementals,939
RamenNoodlerz,Jeskai Control,940
Cody Colston,Dimir Excruciator,941
JefB22,Simic Rhythm,942
Tyler Hart,Dimir Excruciator,943
BryM26,Mono-Green Landfall,944
Rayon,Azorius Control,945
cole12290,Izzet Prowess,946
Derrick Derksen,Jeskai Control,947
AntB65,Sultai Reanimator,948
Michael Paluta,Mono-Green Landfall,949
marcobjorge,Izzet Lessons,950
Christopher Medina,Izzet Elementals,951
Trevor Hokanson,Dimir Excruciator,952
Dvanmeter17,Jeskai Control,953
Caz Rodriguez,Izzet Elementals,954
Tony Stewart,Dimir Excruciator,955
ShaM53,Jeskai Control,956
jonathan castagna,Dimir Excruciator,957
Jesse La Force,Jeskai Control,958
Josh Vaughan,Boros Aggro,959
Kristienne Harris,Grixis Reanimator,960
Ilya Goussev,Izzet Lessons,961
Ronan Armstrong,Izzet Spellementals,962
Ben Gardner,Dimir Midrange,963
Roman Ewing,Dimir Excruciator,964
matt keimig,Bant Rhythm,965
Jfarrington,Four-Color Control,966
Aurinel18,Mono-Red Aggro,967
Andrew Robinson,Mono-Red Aggro,968
SammyGregory,Izzet Spellementals,969
Harrison Fang,Simic Rhythm,970
DanM3,Mono-Black Aggro,971
Brock Roush,Rakdos Monument,972
Zack Sparkman,Izzet Lessons,973
Andrew Auburn,Izzet Elementals,974
Leonardo Ruiz,Simic Rhythm,975
Xraphie143,Izzet Lessons,976
EvanE,Izzet Lessons,977
Mirra Berglund,Azorius Tempo,978
NickHavens,Gruul Landfall,979
Bodado,Mono-Red Aggro,980
Zac Landis,Simic Rhythm,981
jadedelirium,Jeskai Control,982
Mitch Sachs,Mono-Green Landfall,983
Jay T,Temur Harmonizer,984
Juan Astiazaran Ramos,Dimir Excruciator,985
TJ Vyner,Dimir Excruciator,986
Jerret Rocha,Dimir Blink,987
Jason Figaro,Simic Rhythm,988
Brian Ragazzi,Boros Aggro,989
Matt Ludwigson,Izzet Prowess,990
Mark Lemons,Simic Rhythm,991
Jniblet,Boros Dragons,992
Tyler Johannesen,Jeskai Control,993
Glendon Parker,Azorius Tempo,994
Stephen Francis,Rakdos Goblins,995
Vinnie Fino,Izzet Elementals,996
NathanielA,Dimir Excruciator,997
Kevin Kelly,Bant Airbending,998
Michael Miller,Dimir Control,999
Milldaddy,Simic Rhythm,1000
ETHAN WAMEGO,Five-Color Control,1001
TannerM1618,Izzet Prowess,1002
CliffBoyardee,Simic Rhythm,1003
SkyB1,Jeskai Control,1004
Devon Engel,Jeskai Control,1005
Luke Comeau,Azorius Tempo,1006
JuaM27,Dimir Midrange,1007
Joshua Malek,Dimir Excruciator,1008
Avowofsilence,Dimir Midrange,1009
Chris Swafford,Izzet Lessons,1010
Nolan Ferguson,Dimir Excruciator,1011
Espen_Lunden,Jeskai Control,1012
Robert Pompa,Dimir Excruciator,1013
ChadwickJ,Azorius Control,1014
Vernon Brewer,Rakdos Monument,1015
Miguel Rivera,Azorius Aggro,1016
Lucas Duchow,Izzet Lessons,1017
Jackson Kirkland,Izzet Elementals,1018
Quintin Myers,Simic Rhythm,1019
Johnny Black,Mono-Green Landfall,1020
GaryP1,Jeskai Midrange,1021
Jackson Morris,Boros Quintorius,1022
John Shindledecker,Dimir Control,1023
Yadid123,Izzet Spellementals,1024
Brian Weber,Azorius Tempo,1025
Joseph Marriott jr,Izzet Spellementals,1026
Adam Bruce,Dimir Excruciator,1027
Archaea13,Jeskai Control,1028
KevanKramer,Boros Aggro,1029
timsterk45,Izzet Spellementals,1030
Tino Barraza,Dimir Midrange,1031
Lucas Repp,Golgari Midrange,1032
Anand Kinra,Dimir Excruciator,1033
Joey Mispagel,Mono-Green Landfall,1034
LogS29,Boros Aggro,1035
David Boucher,Boros Aggro,1036
DuhChosenNoodle,Dimir Demons,1037
Jackson Todd,Dimir Midrange,1038
Eden Anderson,Izzet Otters,1039
Kevin Long,Dimir Midrange,1040
Austin Nickleson,Mardu Tokens,1041
PatP23,Izzet Elementals,1042
Nick Marconi,Esper Oculus,1043
Andrew Miller,Izzet Lessons,1044
Freohr,Izzet Spellementals,1045
Noah Root,Bant Airbending,1046
KennethEllis,Mono-Green Landfall,1047
MrYeti,Boros Dragons,1048
Michael Bandy,Bant Airbending,1049
JP Gruchacz,Simic Rhythm,1050
EllA4,Azorius Merfolk,1051
AmericanNitemare14,Jeskai Control,1052
DustinE,Azorius Tempo,1053
DJK3V1N,Bant Omniscience,1054
Mike Egan,Grixis Elementals,1055
Pedro Mocelin,Dimir Midrange,1056
Chandler Rainforth,Izzet Elementals,1057
Andrew Tao,Izzet Lessons,1058
DarB14,Boros Dragons,1059
Logan16carter,Mono-White Tokens,1060
DJHero631,Mono-Red Aggro,1061
Proctor,Bant Airbending,1062
Raynor Kuang,Dimir Excruciator,1063
Nathanael Perigo,Temur Harmonizer,1064
05MonU,Izzet Spellementals,1065
Shane Greene,Izzet Prowess,1066
Brian Hodge,Sultai Elementals,1067
Nick Mincucci,Mono-Green Landfall,1068
Lukas Parson,Grixis Elementals,1069
Abner Herrera,Golgari Midrange,1070
LWhite31,Abzan Midrange,1071
Cristofer Smith,Grixis Elementals,1072
Miles Wilson,Izzet Spellementals,1073
Christopher Thomas,Izzet Elementals,1074
Peachums,Dimir Midrange,1075
meleemtgroo,Temur Harmonizer,1076
TJ Rataiczak,Izzet Lessons,1077
Joelle Rinkol,Dimir Midrange,1078
Matthew Bennett,Simic Rhythm,1079
Damion Mims,Mono-Green Landfall,1080
Steven Wilkins,Jeskai Control,1081
Joshua Adkins,Mono-Black Aggro,1082
Jvorron,Simic Rhythm,1083
CaroBean,Selesnya Landfall,1084
Jayson Kemper,Azorius Tempo,1085
Barry Smith,Mono-Red Aggro,1086
OniPepperOni,Izzet Lessons,1087
Michael McKnight,Jeskai Control,1088
MrPanguin,Simic Rhythm,1089
Jacob Winkle,Dimir Excruciator,1090
Gmoneystacks,Dimir Midrange,1091
Joshua Neal,Izzet Lessons,1092
Randompurple06,Mono-Green Landfall,1093
Branden Chambers,Dimir Excruciator,1094
Drew Buchanan,Izzet Blink,1095
Nickoruss,Simic Landfall,1096
Evan Kerr,W-U-B-G Midrange,1097
Aaron Back,Mono-Green Landfall,1098
Gerrit Cyr,Izzet Spellementals,1099
Ryan Young,Izzet Spellementals,1100
jeremiah nelson,Izzet Elementals,1101
Aaronb1677,Abzan Sacrifice,1102
treyb,Simic Omniscience,1103
Tyler Gomez,Izzet Elementals,1104
Jonathan Lacker,Grixis Elementals,1105
Seamus Kelahan,Dimir Excruciator,1106
RobertoGon,Izzet Spellementals,1107
Chaz Alexander,Izzet Elementals,1108
Oscar Herrera,Dimir Excruciator,1109
Catsworn,Orzhov Midrange,1110
Drgang,Jeskai Control,1111
Chris Deeter,Mono-Green Landfall,1112
Luke Barton,Boros Dragons,1113
Masterskywalker,Esper Control,1114
Timothy Bonse,Temur Harmonizer,1115
timahh69,Bant Airbending,1116
jango909,Dimir Control,1117
Miguel Chavez,Dimir Excruciator,1118
Ivan_Draw_Go,Dimir Excruciator,1119
Nathan Wulf,Boros Dragons,1120
Caleb Burke,Mono-Green Landfall,1121
Kyle Schwab,Izzet Spellementals,1122
Ryan Ritchie,Dimir Excruciator,1123
George Taylor,Dimir Excruciator,1124
GarD10,Simic Landfall,1125
Jacob Nelson,Rakdos Monument,1126
brandonsempire,Jeskai Control,1127
BryU1,Jeskai Prowess,1128
Klon3,Jeskai Control,1129
Ryan McCamish,Izzet Prowess,1130
deasy,Azorius Tempo,1131
YNG_K0Bur,Izzet Lessons,1132
Johnny Deluna,Izzet Elementals,1133
James Baranoski,Dimir Excruciator,1134
Brad Fallen,Izzet Lessons,1135
Flipside,Dimir Midrange,1136
Benjamin Hewitt,Izzet Blink,1137
Tyler Kelly,Izzet Aggro,1138
RiChard Wilson,Grixis Elementals,1139
downbadsoup,Orzhov Midrange,1140
savagegalaxy,Boros Monument,1141
curtissroyster,Izzet Lessons,1142
Joey Fry,Sultai Midrange,1143
Tyrell Nelson,Dimir Excruciator,1144
Jesse Aguirre,Temur Harmonizer,1145
Pierce Barham,Dimir Excruciator,1146
Craig Jeckel,Izzet Lessons,1147
Rayton Espiritu,W-U-B-R-G,1148
Jamillo Pascual,Mardu Demonic Pact,1149
Richard Brown Jr,Sultai Elementals,1150
Mika Spangler,Azorius Control,1151
Joe Kirklow,Dimir Midrange,1152
Caleb White,Izzet Elementals,1153
GimmedatShhh,Simic Rhythm,1154
Bill Comminos,Gruul Landfall,1155
Michael Buckley,Izzet Looting,1156
Fred Stryker,Dimir Excruciator,1157
Thomas Johnson,Izzet Lessons,1158
Robert_Bookland,Izzet Spellementals,1159
Christopher Sheppard,Dimir Excruciator,1160
Kelvin Spruill,Mono-Green Landfall,1161
Mark Samuelson,Mono-Green Landfall,1162
Gmj1921,Izzet Spellementals,1163
Bryson Horne,Sultai Midrange,1164
Tristan Emmerson,Bant Airbending,1165
Peregrine Higgins,Sultai Reanimator,1166
Joe Briones III,Boros Dragons,1167
Sweetpotato,Izzet Elementals,1168
Naterooy,Dimir Midrange,1169
Darren Shahinian,Jeskai Control,1170
Carolyn Pardee,Simic Rhythm,1171
mangorain,Esper Oculus,1172
Jonthan6646,Azorius Control,1173
CamL15,Izzet Blink,1174
Sean Murdoch,Jeskai Control,1175
DroopyStorm,Dimir Midrange,1176
Michael Malone,Mono-Blue Prowess,1177
Kyle McGee,Azorius Tempo,1178
Kevin Kingsley,Izzet Spellementals,1179
ShoutcasterMage,Jeskai Control,1180
SimonRichman777,Sultai Reanimator,1181
Gunner Sledgeski,Rakdos Monument,1182
Jacob Dunlap,Jeskai Control,1183
Andrew Ohlschwager,Izzet Spellementals,1184
Derpoholic,Dimir Excruciator,1185
jtaylor3,Four-Color Control,1186
Joseph Brogan,Izzet Flash,1187
Ted Koppers,Simic Frogs,1188
Austin Baesemann,Jeskai Control,1189
Bailey Montressor,Izzet Lessons,1190
EthE,Temur Harmonizer,1191
William Greenwood,Grixis Elementals,1192
Michel Kaler,Dimir Midrange,1193
