Player,Deck,Rank
Thatcher Koenecke,Azorius Tempo,161
Robert Pounds,Rakdos Monument,162
Brian Rogers,Izzet Lessons,163
Jackisch,Dimir Midrange,164
Bob Culp,Dimir Excruciator,165
James Dimitrov,Izzet Lessons,166
J.D. Emerick,Boros Dragons,167
Graham Tarling,Gruul Landfall,168
Pedro da Silva,Dimir Midrange,169
Will Kowalczyk,Izzet Lessons,170
Fanchen Yang,Izzet Elementals,171
Terry Stratton,Sultai Rhythm,172
Harrison Harp,Jeskai Control,173
RobertFalk,Azorius Tempo,174
Joseph Countryman,Mono-Green Landfall,175
Anibal Z,Izzet Lessons,176
Dylan Morgan,Dimir Midrange,177
Will Harms,Dimir Midrange,178
Patrick Albergo,Izzet Elementals,179
JoePanthor,Jeskai Dragons,180
Parker Goff,Dimir Excruciator,181
Jason Cornell,Izzet Prowess,182
Drew Weissmann,Selesnya Landfall,183
djstillio,Izzet Lessons,184
Justin Brickman,Dimir Excruciator,185
Logan Hulley,Izzet Elementals,186
Jacob Mitchell-Rabaey,Izzet Blink,187
Sanggu Lee,Dimir Excruciator,188
Izaak van Til,Izzet Prowess,189
James Drake,Izzet Lessons,190
Mickey Cushing,Dimir Excruciator,191
Kevin Farrell,Mono-Green Landfall,192
travis bryant,Boros Dragons,193
Nick Osterude,Izzet Lessons,194
Tristan Pouloaky,Mono-Green Landfall,195
robert seder,Dimir Excruciator,196
Chris Hamilton,Mono-Green Landfall,197
Teddy Froelich,Dimir Midrange,198
Michael Gwynn,Grixis Elementals,199
Jess Williams,Izzet Lessons,200
rick schaffer,Azorius Otters,201
Tyler Bird,Mono-Green Landfall,202
ericmarkel,Mono-Red Aggro,203
Tysen Sample,Dimir Midrange,204
Aaron Lewis,Azorius Tempo,205
Michael Moore,Dimir Midrange,206
Wyatt Gibson,Simic Rhythm,207
Vaughn Weirens,Mono-Green Landfall,208
Andrei Ionov,Mono-Red Aggro,209
Ashersf,Izzet Looting,210
Gabriel Clark,Bant Airbending,211
Andrew Debevoise,Dimir Midrange,212
Jack Weiss,Mono-Green Landfall,213
Justin Blackburn,Dimir Midrange,214
SamBrown,Temur Harmonizer,215
CameronTalbot,Mono-Red Aggro,216
John Morris,Dimir Excruciator,217
Philip_Waldrop,Izzet Lessons,218
Cheech2k10,Mono-Green Landfall,219
Basta,Izzet Elementals,220
Jason Qiu,Temur Harmonizer,221
JDD,Dimir Excruciator,222
Jack Hermsen,Simic Rhythm,223
Connor Laehn,Dimir Midrange,224
Ben Kill,Mono-Black Midrange,225
Matthew Carlson,Izzet Elementals,226
The Dark Stream,Sultai Rhythm,227
Cody Treu,Dimir Excruciator,228
Wesley Hickman,Temur Rhythm,229
PercioMelo,Izzet Lessons,230
William Heise,Temur Harmonizer,231
Zach Zakfeld,Izzet Spellementals,232
kalillazaro,Mono-White Aggro,233
Ryan Goldberg,Dimir Excruciator,234
Alfredo Barragan,Izzet Lessons,235
Ezekial Riley,Simic Rhythm,236
Lyfeinsurance,Sultai Roots,237
Patrick Richardson,Azorius Otters,238
christopher bertone,Izzet Elementals,239
Michael Byars,Azorius Tempo,240
MalevolentCreed,Dimir Excruciator,241
Stephen Hanlin,Azorius Tempo,242
Jason Ye,Four-Color Midrange,243
Isaac Sears,Mono-Green Landfall,244
Yinan Wan,Sultai Reanimator,245
Chas Hinkle,Dimir Midrange,246
Aiden Lum,Mono-Green Landfall,247
William Dou,Izzet Lessons,248
Jacob Norris,Izzet Elementals,249
Oliver Voegeli,Dimir Excruciator,250
Mikey Bishara,Izzet Elementals,251
BraydenPlaysCards,Mono-Red Aggro,252
Anthony Pepe,Mono-Green Landfall,253
Felix Grezes,Azorius Tempo,254
Evan Coker,Mono-Green Landfall,255
Amelia Stephens,Mono-Green Landfall,256
David Koon,Mono-Green Landfall,257
Colin Sabor,Azorius Tempo,258
Robert Rose,Five-Color Control,259
Nathan Choi,Simic Rhythm,260
Nicholas Giallorenzi,Azorius Tempo,261
Kris Melby,Boros Aggro,262
Jim Bishop,Izzet Spellementals,263
MaximB,Mono-Green Landfall,264
Jurrd,Izzet Elementals,265
Dylan Brown,Dimir Excruciator,266
Sylvie Sibila,Dimir Excruciator,267
Andrew Bujorian,Izzet Lessons,268
Rafael Marin,Izzet Lessons,269
Michael Belfatto,Azorius Control,270
Daniel Bachhuber,Simic Rhythm,271
Joe Dixon,Izzet Elementals,272
PhyrexianJohn,Jeskai Control,273
TavinJ,Dimir Midrange,274
kongfuchris,Mono-Green Landfall,275
TayR9,Mono-Green Landfall,276
uncannyox,Izzet Elementals,277
Chase Santayana,Dimir Excruciator,278
Nathan Johnson,Azorius Tokens,279
Connor Mackenzie,Izzet Lessons,280
Gregory Johnson,Azorius Tempo,281
Bassel Nasri,Dimir Excruciator,282
Tristan Wylde-LaRue,Four-Color Rhythm,283
James Moskal,Izzet Prowess,284
Brennan Roy,Izzet Prowess,285
Steve Gan,Izzet Lessons,286
aaron meislin,Izzet Elementals,287
nlothame,Mono-Green Landfall,288
LouiOriqui,Temur Elementals,289
Jeff Jao,Simic Omniscience,290
mberlin,Dimir Excruciator,291
Mitchell Anderson,Dimir Excruciator,292
James Suter,Azorius Tempo,293
Kevin Thomas,Orzhov Tokens,294
Dustin Thompson,Dimir Midrange,295
Alex Purdy,Izzet Lessons,296
Charlie Drevecky,Mono-Red Aggro,297
Skylar Pastor,Izzet Lessons,298
Tariq Patel,Izzet Prowess,299
Dawson Slusser,Rakdos Monument,300
Sean McCary,Izzet Elementals,301
jasontheranger,Boros Dragons,302
Newton Cheng,Four-Color Rhythm,303
J  P,Mono-Red Aggro,304
Utkarsh Koshti,Mono-Green Landfall,305
Matthew Glick,Izzet Elementals,306
Jeffery Elmore,Azorius Tempo,307
Andrew Sullano,Izzet Lessons,308
Kyle Rehome,Mono-Green Landfall,309
Hugh Coyne,Izzet Lessons,310
Maxwell Hogg,Azorius Tempo,311
abertram,Sultai Reanimator,312
DjsAdventures,Izzet Lessons,313
Alex Yatsenko,Dimir Excruciator,314
ryan bowen,Mono-Red Leyline,315
Lucas Rhodes,Izzet Spellementals,316
Akshay Karthik,Azorius Tempo,317
Steven Rorabaugh,Izzet Lessons,318
Ryan Hayes,Izzet Lessons,319
James Baggett,Dimir Control,320
