Player,Deck,Rank
Andrea Fortunati,Bant Rhythm,1
Samuele Estratti,Esper Pixie,2
Víctor Martínez Medina,Momo White,3
Frozen_Mind,Bant Rhythm,4
Ale_Mtg,Izzet Lessons,5
George Berrett,Izzet Elementals,6
Valentin Orru,Boros Dragons,7
Matyáš Kalužný,Izzet Spellementals,8
Alexey Paulot,Temur Lessons,9
Klemen Pirc,Rakdos Monument,10
Max Bosma,Mono-Green Landfall,11
Carlo De Gaetano,Izzet Lessons,12
Guglielmo Lupi,Izzet Prowess,13
Michael_Frappi,Mono-Green Landfall,14
EdgarB,Izzet Lessons,15
Mikita Shcharbakou,Izzet Prowess,16
Jack Young,Izzet Spellementals,17
Mattia Rizzi,Izzet Lessons,18
MatO20,Dimir Midrange,19
93vasa,Izzet Spellementals,20
Lukas Schwendinger,Mono-Red Aggro,21
Istillarte12,Izzet Elementals,22
Lorenzo Trentadue,Izzet Lessons,23
Charles Eliatamby,Izzet Elementals,24
Ben Jones,Izzet Lessons,25
Sergio Garcia,Izzet Spellementals,26
Pietro De Sanctis,Izzet Prowess,27
Mike Boulinguiez,Bant Airbending,28
Diego Zaccagnini,Mono-Red Aggro,29
Miguel cerqueira,Mono-Green Landfall,30
Aras Şenyüz,Izzet Spellementals,31
Gregorio Galeotti,Izzet Spellementals,32
Gennaro Costanzo,Izzet Prowess,33
Sebastian Thaler,Izzet Prowess,34
Marco Orellana,Izzet Prowess,35
Anders Zink Munday,Simic Rhythm,36
Gabriel Farriol,Izzet Lessons,37
MJ_23,Mono-Green Landfall,38
Pier Paolo Moro,Izzet Lessons,39
_SanPop_,Izzet Prowess,40
Socrates Rozakeas,Izzet Lessons,41
Francesco Laurenzi,Izzet Prowess,42
James Ball,Izzet Prowess,43
Antonio Giustino,Mono-Green Landfall,44
Egor Titov,Izzet Prowess,45
Vincenzo Cusenza,Dimir Midrange,46
Sebastian Sachse,Temur Harmonizer,47
Francesco Latorre,Rakdos Monument,48
Masaya_Hoshino,Bant Rhythm,49
Adrian Kacperczyk-Perdyan,Izzet Lessons,50
Andreas Nordahl,Izzet Lessons,51
Patrik Szmatana,Izzet Lessons,52
Tom Verzijl,Mono-Green Landfall,53
Lorenzo Pollone,Izzet Prowess,54
Kael95,Izzet Lessons,55
Timo Bertram,Mono-Green Landfall,56
Sergio García,Izzet Prowess,57
Dominik Cupal,Azorius Tempo,58
Lorenzo Terlizzi,Izzet Prowess,59
Joshua Bausch,Simic Rhythm,60
Alessandro Smanio,Grixis Elementals,61
Clemens Gerteiser,Izzet Prowess,62
Marco Capitanio,Izzet Lessons,63
Ugutz Torre,Izzet Lessons,64
Máté Schrick,Izzet Spellementals,65
Ponso,Azorius Tempo,66
Guillaume PETRI,Izzet Prowess,67
Mattia Tarquini,Izzet Spellementals,68
DarkDeno,Grixis Monument,69
Marco cammilluzzi,Izzet Elementals,70
Piotr Głogowski,Izzet Lessons,71
Anže Mlakar,Izzet Prowess,72
NoamBrunel99,Dimir Midrange,73
Pierre Liebsch,Izzet Lessons,74
Gaétan Verdierre,Mono-Green Landfall,75
Emanuele_Magugliani,Mono-Green Landfall,76
Mattia Lido,Boros Tokens,77
Marco Vassallo,Dimir Midrange,78
Matthieu Tassa,Izzet Prowess,79
Gabriel Sarfis,Mono-Green Landfall,80
Pertev Ozan Atik,Izzet Prowess,81
Jonas_Erbe,Simic Rhythm,82
Alessandro Rinaldi,Izzet Prowess,83
Nikita Aseev,Izzet Lessons,84
Andrea Da Riol,Izzet Lessons,85
Maciej Olczak,Mono-Green Landfall,86
MeiN,Mono-Green Landfall,87
Jędrek Szmyd,Izzet Lessons,88
Boncho Dimitrov,Simic Rhythm,89
Pirrakos,Mono-Green Landfall,90
Caleb Björnler,Mono-Green Landfall,91
Jiří Obraz,Mono-Green Landfall,92
Stefan Kramm,Mono-Green Landfall,93
Koen de Vos,Izzet Spellementals,94
Adrián Álvarez Vega,Izzet Lessons,95
Cesk91,Momo White,96
Przemysław Oberbek,Rakdos Monument,97
José Bandeira,Izzet Lessons,98
matteoduraccio99,Dimir Midrange,99
Jon Aingeru,Izzet Prowess,100
milandelaet,Dimir Midrange,101
Oscar Christensen,Izzet Spellementals,102
Martin S,Izzet Prowess,103
Massimiliano Di Dio,Momo White,104
Jonathan Yuguero,Mono-Green Landfall,105
Scappie,Dimir Excruciator,106
