Player,Deck,Rank
John Puglisi Clark,Mono-Green Landfall,1
Jacob Durish,Izzet Prowess,2
Jesse Piland,Mono-Green Landfall,3
Michael Paluta,Mono-Green Landfall,4
Anthony Pepe,Mono-Green Landfall,5
Simon Byrne,Izzet Spellementals,6
Ross Merriam,Izzet Prowess,7
Brian Zeng,Rakdos Rummaging,8
Will Kowalczyk,Izzet Lessons,9
Josh Moscoe,Izzet Spellementals,10
Yutian Luo,Sultai Reanimator,11
Davin Frankosky,Mono-Green Landfall,12
Quinn Tonole,Mono-Red Aggro,13
Kenneth Ward,Jeskai Control,14
Cody Colston,Mono-Green Landfall,15
Justin Schabel,Izzet Lessons,16
Corey Burkhart,Simic Rhythm,17
Adam Snook,Dimir Midrange,18
Neil Estrada,Mono-Green Landfall,19
Philip Marschall,Mono-Green Landfall,20
Gavin Perry,Jeskai Midrange,21
Robert Pompa,Mono-Green Landfall,22
Carter Newman,Mono-White Momo,23
Andrew Mahieu,Izzet Prowess,24
Joshua Willis,Izzet Lessons,25
Joseph Nunez,Izzet Spellementals,26
st3amkin,Mono-Green Landfall,27
Thomas Brusilovsky,Mono-Green Landfall,28
Jack Yudt,Izzet Lessons,29
Colin Sabor,Azorius Tempo,30
Dan Schriever,Golgari Landfall,31
Jay T,Temur Harmonizer,32
Christian Valenti,Mono-White Momo,33
Tyler Aaron Barnett,Izzet Prowess,34
ShaheenS,Azorius Control,35
MarcelineOrion,Four-Color Midrange,36
BigBrain,Rakdos Monument,37
john norman,Izzet Prowess,38
James Spinelli,Izzet Prowess,39
Nicholas Girardi,Dimir Excruciator,40
Joseph Hunt,Izzet Spellementals,41
William Grogan,Mono-Green Landfall,42
Ryan Hayes,Mono-White Momo,43
Mason Furnish,Simic Rhythm,44
Steven Borakove,Sultai Rhythm,45
Alexander Beebe,Izzet Spellementals,46
Benjamin Meyer,Azorius Tempo,47
KELLEN PASTORE,Izzet Prowess,48
Evan Heritage,Izzet Lessons,49
Chase Santayana,Esper Midrange,50
Brennan Franks,Izzet Prowess,51
Daniel Miller,Izzet Elementals,52
DavidWCarstens,Izzet Prowess,53
August Nguyen,Izzet Prowess,54
Phillip Lucas,Dimir Midrange,55
yoman5,Mono-Green Landfall,56
Jarvis Yu,Izzet Spellementals,57
Ian Robb,Izzet Prowess,58
dylan ham,Mono-White Momo,59
Nick Schirillo,Izzet Lessons,60
Shinya Saito,Izzet Prowess,61
Ryan Mullens,Izzet Lessons,62
Nathan Steuer,Izzet Spellementals,63
Kobi Sutton,Izzet Lessons,64
Vagner William Casatti,Izzet Lessons,65
Mavin Liu,Sultai Reanimator,66
Harry Hackett,Simic Rhythm,67
Kye Nelson,Bant Airbending,68
SaintMJ,Esper Pixie,69
Jay Wojciechowski,Izzet Prowess,70
RUKI,Izzet Prowess,71
decklist0,Izzet Lessons,72
Thomas Schiel,Mono-Red Aggro,73
William Yagatich,Simic Rhythm,74
Ryan Simpson,Grixis Monument,75
Allen Norman,Mono-Green Landfall,76
spelljordan,Mono-Green Landfall,77
xadash42,Izzet Prowess,78
Richard Mackay,Boros Dragons,79
Tom Strong,Izzet Lessons,80
AdinZimmerman,Izzet Lessons,81
David Yuan,Izzet Lessons,82
Extrapolater,Dimir Midrange,83
Ryan Jiang,Rakdos Rummaging,84
troici,Mono-Green Landfall,85
Craig Rocco,Golgari Midrange,86
Alfredo Barragan,Dimir Midrange,87
Tyler Allen,Mono-Red Aggro,88
Trevor Sharp,Izzet Lessons,89
Austin Graham,Temur Harmonizer,90
James Dimitrov,Dimir Excruciator,91
jhale9304,Dimir Midrange,92
Zachary Medford,Izzet Lessons,93
Ryan Seawell,Izzet Prowess,94
Christopher Thomas,Azorius Momo,95
marcobjorge,Izzet Prowess,96
Matthew Takahashi,Temur Harmonizer,97
Ryan Normandin,Dimir Excruciator,98
Juno Hayes,Rakdos Monument,99
Munchy556,Simic Omniscience,100
Jacob Milchman,Izzet Prowess,101
Ian Campbell,Izzet Prowess,102
Jeremy Henry,Mono-Green Landfall,103
Maxx Paustian,Mono-Green Landfall,104
Glenn Curry,Simic Prowess,105
Joseph Dial,Mono-Red Aggro,106
JohnRuml,Simic Rhythm,107
Matthew Davis,Izzet Elementals,108
Carson Wolf,Four-Color Rhythm,109
Nelson Chen,Izzet Lessons,110
Levi Gaines,Mono-White Momo,111
Andrewsucher,Dimir Midrange,112
Joseph Puglisi,Jeskai Momo,113
Terry Stratton,Sultai Rhythm,114
Robin Gonzalez,Izzet Lessons,115
Justin Cavenaugh,Bant Airbending,116
Rachel Feingersh,Mono-Green Landfall,117
JodyK,Grixis Monument,118
Douglas Edelman,Selesnya Midrange,119
Abner Herrera,Mono-Green Landfall,120
Pickle3500,Izzet Lessons,121
Alexander Kans,Izzet Spellementals,122
VinnieGarbonick,Mono-Red Aggro,123
Carlo Favretto,Boros Dragons,124
Andrew Calderon,Mono-Green Landfall,125
Skylar Pastor,Izzet Lessons,126
Lee Struble,Dimir Control,127
Fu Yu,Mono-Green Landfall,128
Ryan Neal,Mono-White Momo,129
Austin Bucholz,Mono-Green Landfall,130
deepgoose,Mono-Green Landfall,131
Josh James,Mono-Green Landfall,132
rswipes,Izzet Prowess,133
Shimpo Kosuke,Dimir Midrange,134
TJ Vyner,Dimir Midrange,135
Humberto_lebron,Four-Color Control,136
Shawn Becker,Bant Rhythm,137
Elle Ashby,Izzet Prowess,138
Timothy Moore,Orzhov Control,139
Andrew Shaw,Mono-Green Landfall,140
Thomas Burtner,Sultai Reanimator,141
Jniblet,Mono-Red Aggro,142
Changsong Gao,Selesnya Midrange,143
Colin Jones,Mono-Green Landfall,144
ChristopherC,Sultai Reanimator,145
AlexMacIsaac,Izzet Prowess,146
William Pruitt,Izzet Prowess,147
steven watkins,Selesnya Landfall,148
Nick Mele,Dimir Midrange,149
Levi Pitts,Azorius Otters,150
Taylor Stacey-Miller,Simic Rhythm,151
Javier Ramos,Azorius Otters,152
Jack Wiler,Mono-Green Landfall,153
jdbeaver24,Dimir Control,154
James Williams,Esper Midrange,155
krhadley17,Jeskai Control,156
austin128982,Bant Airbending,157
Spencer Hoselton,Izzet Lessons,158
MoonVodka,Izzet Prowess,159
Zevin Faust,Boros Momo,160
Zach Flynn,Izzet Lessons,161
Haokun Dong,Dimir Midrange,162
JimRichmond,Four-Color Control,163
Collins Mullen,Mono-Green Landfall,164
Dave Chen,Dimir Midrange,165
carterw15,Izzet Spellementals,166
Nico Ferrigno,Izzet Lessons,167
Julian Korfine,Izzet Spellementals,168
Cody Schreiner,Rakdos Monument,169
Shane Daveler,Temur Harmonizer,170
Anthony Arevalo,Izzet Prowess,171
Jack 🎸 Forbes,Izzet Prowess,172
sofiapilled,Izzet Lessons,173
Kyohei Kusakabe,Mono-Green Landfall,174
Mason Buonadonna,Boros Tokens,175
Trevor Hokanson,Izzet Prowess,176
Jonathan Caez,Sultai Reanimator,177
John Steinmetz,Rakdos Monument,178
Christian Calcano,Izzet Lessons,179
Gabriel Balannik,Izzet Prowess,180
Kevin Lu,Azorius Control,181
awang76,Izzet Lessons,182
Krishna Pai,Izzet Prowess,183
Allen Miller,Mono-White Momo,184
TopSoren,Izzet Lessons,185
BradyM,Simic Rhythm,186
Edward Beck,Izzet Prowess,187
Michael DeBenedetto-Plummer,Izzet Spellementals,188
Tysen Sample,Dimir Midrange,189
Jake Stine,Izzet Elementals,190
Orlando DelValle,Simic Rhythm,191
IanL4,Izzet Spellementals,192
Richard Baxter,Mono-Green Landfall,193
Jesus Ramos,Mardu Control,194
Allan Setash,Rakdos Monument,195
Grem32,Izzet Lessons,196
Grayson Nemets,Rakdos Monument,197
Pat Price,Mono-Green Landfall,198
Connor Mullaly,Izzet Lessons,199
Milan Bhayana,Izzet Prowess,200
Tashford,Mono-Green Landfall,201
Talonflame23185,Izzet Spellementals,202
Joel Brook,Izzet Prowess,203
Jacob DuBois,Bant Airbending,204
Anderson  LeClair,Izzet Lessons,205
Michael Martin,Izzet Spellementals,206
Derek Pendleton,Izzet Prowess,207
Pat Cox,Mono-Green Landfall,208
Wignallalexm,Temur Harmonizer,209
Ryan AuCoin,Izzet Prowess,210
Michael Gwynn,Grixis Elementals,211
Stephen Wong,Four-Color Control,212
Brooks Baker,Azorius Tempo,213
Sean Kelloff,Izzet Spellementals,214
Elesh_N,Izzet Prowess,215
Douglas Bailey,Mono-Green Landfall,216
Jackson King,Grixis Monument,217
ryan wood,Izzet Lessons,218
Peter Husisian,Temur Otters,219
CharlesFish,Azorius Tempo,220
Fruitkid,Izzet Spellementals,221
GaryP1,Boros Dragons,222
Jonathan Rivera,Mono-Green Landfall,223
SeabassWright,Mardu Dragons,224
Redmage93,Dimir Midrange,225
tylerogradylu15,Boros Aggro,226
Jackson Roark,Izzet Spellementals,227
