Player,Deck,Rank
NeilsonZhang,Dimir Midrange,1
january,Mono-Green Landfall,2
Zoza,Mono-Green Landfall,3
David Schnayer,Izzet Elementals,4
Elliot Fortier,Mono-Green Landfall,5
FlameStrata,Azorius Tempo,6
EllieThePurple,Jeskai Control,7
Matthew Stefans,Mono-Green Landfall,8
Nam Dang,Izzet Lessons,9
Joshua Saruga,Mono-Red Aggro,10
Asha Mills Emmett,Izzet Prowess,11
Andrew Kidston,Izzet Lessons,12
Mason Wong,Izzet Spellementals,13
Kyle Gellert,Jeskai Lessons,14
Kevin Anctil,Mono-Green Landfall,15
Andrea Smith,Mono-Green Landfall,16
Xiao Yu (Roy)  Yang,Dimir Midrange,17
Steven Fiebelkorn,Izzet Prowess,18
Noel Robin,Izzet Elementals,19
Kasey Fanara,Boros Dragons,20
Anthony Lee,Temur Prowess,21
Brian Bonnell,Izzet Spellementals,22
James Lloyd,Izzet Spellementals,23
Alexandre Livernoche,Boros Dragons,24
Alyssa Oatridge,Boros Dragons,25
Luca Cherpillod,Sultai Reanimator,26
Farrell  Pujokusumo,Dimir Control,27
Phillip Hurst,Dimir Demons,28
Roberto Cibrian Stockbridge,Izzet Spellementals,29
Chris Yao,Temur Landfall,30
Winnie Bowser,Simic Ouroboroid,31
Sarah England,Mono-Red Aggo,32
awilliams999,Izzet Spellementals,33
BorosBen,Boros Dragons,34
TommyG09,Izzet Blink,35
Alexandre Furstenberger,Bant Rhythm,36
Michael Knie,Temur Omniscience,37
Matthew Beattie,Simic Rhythm,38
Kody Fanara,Izzet Spellementals,39
Terrence Johnstone,Rakdos Monument,40
PhilipLi,Dimir Bounce,41
Burke Horst,Mono-Green Landfall,42
Kody Lyons,Temur Prowess,43
Mark Weedon,Dimir Demons,44
Ryan Primdahl,Izzet Prowess,45
HectorMoses,Mono-Red Aggro,46
george ren,Dimir Demons,47
Kris Wishinski,Mono-White,48
WhatTheHeck,Sultai Reanimator,49
Rin Porter,Izzet Elementals,50
SashaFarenyuk,Simic Rhythm,51
Young Zhou,Mono-Green Landfall,52
StevenU,Azorius Control,53
YarrMorgan,Rakdos Monument,54
Gavin Bennett,W-U-B-R Control,55
Jack Potter,Simic Ouroboroid,56
Cameron Sweetnam,4C Elementals,57
Sugar Shane,Mono-Black Demons,58
Peter Shmanka,Dimir Midrange,59
