Player,Deck,Rank
Jason Clark,Dimir Demons,60
Alan Christopher,Mono-Green Landfall,61
jordyyyy,Izzet Spellementals,62
Jonathan Delos Trinos,Temur Landfall,63
Gabriel Bernier,Dimir Midrange,64
Dustyn Nogueira,Dimir Demons,65
Adrian Shalchi,Izzet Prowess,66
Olive Reed,Dimir Midrange,67
AlexMacIsaac,U-B-R-G Prowess,68
Ken Darlington,Dimir Midrange,69
Linden Koot,Dimir Bounce,70
GordonTonner,Mono-Green Landfall,71
Nikola Drazenovic,Izzet Lessons,72
Jonathan_Hsu,Bant Airbending,73
Adam Bruni,Izzet Prowess,74
Willam,Mono-Green Landfall,75
Kendrick Monreal,Simic Rhythm,76
Matthew Baros-Steyl,Izzet Prowess,77
Markus Thibeau,Grixis Monument,78
BestSmurgNA,Dimir Demons,79
John Vanderby,Izzet Lessons,80
Rob Stach,Izzet Spellementals,81
Brian Ly,Sultai Reanimator,82
Delamar Singh,Boros Dragons,83
Simone Maletto,Sultai Ouroboroid,84
ChrI6,W-U-B-G Reanimator,85
Erik Yzeiri,Grixis Monument,86
Matthew Hyndman,Temur Landfall,87
Peter Handy,Izzet Lessons,88
Marcus King,Golgari Combo,89
DevW1,Dimir Midrange,90
davinates,Azorius Tempo,91
Tecklin,Temur Combo,92
Rae Aurelia,Golgari Ouroboroid,93
ryan putigna,Dimir Midrange,94
Randall Litman,Izzet Spellementals,95
mgraesslin,Temur Landfall,96
Jameslam,Izzet Prowess,97
MarG,Jeskai Control,98
Mathew Stein,Izzet Lessons,99
Mazianos,Dimir Demons,100
Théo Jacques-Griffin,Temur Prowess,101
keithcapstick,Mono-Green Landfall,102
Derek Pite,Izzet Lessons,103
HappySandwich,Mono-Green Landfall,104
Alex Aitken,Temur Prowess,105
Avery Shoemaker,Simic Rhythm,106
Synaru,Mono-Green Landfall,107
Spencer Shaw Jaworek,Jeskai Control,108
skranbets,Izzet Prowess,109
yizl1,Izzet Lessons,110
Nicholas Shott,Izzet Prowess,111
Daniel Fournier,Mono-Green Landfall,112
MicO3,Izzet Elementals,113
NathanielK,Izzet Lessons,114
Brock Read,Mono-Black Demons,115
Tobias Roos,Mono-Green Landfall,116
Draven Jolicoeur,Sultai Reanimator,117
Omar B,Dimir Midrange,118
Tyler White,W-U-B-R Control,119
Julian David,Izzet Lessons,120
Nemanja Karadzic,Mono-Green Landfall,121
Liam Hoban,Dimir Control,122
Arun Jolly Marlier,Dimir Demons,123
Alex12,Golgari,124
Zykles,Jeskai Control,125
RyanDesmarais,Mono-Green Landfall,126
Ian Hancock,Rakdos Aggro,127
Jericho Aguilar,Esper Reanimator,128
daceris,Izzet Lessons,129
tannerzinck,Boros Aggro,130
Edgar Magalhaes,Dimir Control,131
MaxWinkelman,Temur Prowess,132
danielooo,Mono-Green Landfall,133
outskip,Simic Midrange,134
TJ Kimmie,Jeskai Control,135
Tate Smith,Dimir Midrange,136
Jules brown,Orzhov Control,137
Brady Kiesling,Mono-Green Landfall,138
Kevin Besta,Izzet Prowess,139
Bryce Hawkins,Izzet Lessons,140
James Berglund,Izzet Spellementals,141
ValentineW,Dimir Midrange,142
Tyler Simon,Izzet Prowess,143
Davey Noble,Izzet Spellementals,144
Graham Gibb,Dimir Midrange,145
Ben Sobol,Naya Yuna,146
quinn pollock,W-U-B-R Midrange,147
Mel Woods,W-U-B-R-G Allies,148
Andy Peters,Izzet Lessons,149
Adham Momen,Azorius Tempo,150
MicC26,Simic Rhythm,151
ShandroMcassey,Dimir Midrange,152
Kyle Miller,Izzet Elementals,153
Caleb Shannon,Bant Airbending,154
Brian Wong,Azorius Tempo,155
Noel Herbert,4c Elementals,156
Drew Weber,Azorius Tempo,157
Sean Hunter,Dimir Midrange,158
KelS3,Sultai Reanimator,159
Peebnut,Boros Dragons,160
EriW28,U-B-R-G Reanimator,161
Jozef Telecki,Izzet Lessons,162
Chris Stevens,Azorius Tempo,163
ilovegoblins,Mono-Red Aggro,164
Dawson Courson,Dimir Doomsday,165
Sheldon Sequeira,Dimir Midrange,166
colesmith,Jeskai Control,167
Thomas Nennich,Bant Airbending,168
Jonathon Miller,Jeskai Control,169
JJazokas,Jeskai Control,170
Georges Turcotte,Dimir Reanimator,171
Zachary Leach,Gruul,172
EdeS,Mono-Green Aggro,173
Jonah Fox,Dimir Demons,174
kirbymacatangay,Azorius Tempo,175
Omry Gribov,Izzet Lessons,176
HyacintheK,Mono-Green Landfall,177
David Booker,Sultai Elementals,178
Conor Hickey,Mono-Red Aggro,179
Sebastian Clancy,Rakdos Monument,180
Mark Patton,Dimir Doomsday,181
Nick Newburg,Dimir Demons,182
Dominic Harvey,Izzet Lessons,183
JosR17,Izzet Lessons,184
privacybydefault,Mono-Red Aggro,185
Anthony Soon,Dimir Doomsday,186
NicH,Jeskai Control,187
Steven Miclette,Jeskai Midrange,188
dagbaker,Azorius Tempo,189
Daniel Lee,Azorius Control,190
Drew Christensen,Dimir Demons,191
psdelver,Dimir Midrange,192
BraB85,5C Rhythm,193
LemonHawk,Dimir Reanimator,194
Clint Taylor,Sultai Elementals,195
kranity,Boros Dragons,196
James Stevenson,Dimir Midrange,197
Doria Keung,Azorius,198
Zackaryschneider1111,Izzet Combo,199
Guillighan,Izzet Elementals,200
JamesLaing,Sultai Reanimator,201
KylC28,Simic Rhythm,202
Luna Lawrence,Jeskai Control,203
TehscrubblyMTG,Azorius Tempo,204
Joel Repta,Izzet Lessons,205
Les Bakker,Sultai Reanimator,206
Zak Turchansky,Izzet Prowess,207
Shraximus,Jeskai Control,208
Anthony Frederiksson,Naya Yuna,209
superbainer,Jeskai Control,210
Brian Thai,Dimir Midrange,211
Chris Donetz,Mono-Red Aggro,212
Todder007,Simic Ouroboroid,213
Tom Cairns,W-U-R-G Control,214
BrandonDrake,Izzet Prowess,215
maxorag,Mono-Black Midrange,216
erwinli,Boros Dragons,217
Carson Ziegler,Izzet Lessons,218
Lagdroth,Simic Rhythm,219
Terabyne,Izzet Spellementals,220
Boston Schatteman,Izzet Prowess,221
William La Hay,Jeskai Control,222
Gareth Antle,W-U-B-R Midrange,223
Jonathan Richardson,Jeskai Control,224
Bryan Blouin,Dimir Midrange,225
Tyler Enright,Izzet Blink,226
DunM4,Jeskai Control,227
Wrath8805,Temur Landfall,228
angelo_g,Jeskai,229
GrizzlyNate,Izzet Prowess,230
Roderick Potter,Dimir Midrange,231
Dennis Liu,Izzet Lessons,232
Lena Stone,Dimir Midrange,233
Larry Li,Mono-Green Landfall,234
Horsey,Izzet Combo,235
Brandantheguy,Temur Midrange,236
Bruce johnson,Azorius Tempo,237
Connor Dyck,Rakdos Monument,238
Alex Hatch,Dimir Bounce,239
BiGPHiL,Simic Combo,240
