Player,Deck,Rank
Jorge Lopez,Mono-Green Landfall,1
Ivan Saenz,Mono-Green Landfall,2
Isabel,Jeskai Control,3
Carlos Martinez,Dimir Midrange,4
Edgar Emmanuel Rangel Páez,Dimir Excruciator,5
Juanmi Sierra,Izzet Midrange,6
Julio Cesar Soto,Dimir Midrange,7
Rainman Sian,Dimir Midrange,8
Jojo-Torres,Bant Airbending,9
Ericksson Moran,Boros Aggro,10
Paul Villalobos,Azorius Tempo,11
PedroM6744,Mono-Green Landfall,12
Tyvant,Boros Dragons,13
Juan Carlos Servin Gomez,Izzet Elementals,14
Luis Felipe Sanchez Cuevas,Simic Rhythm,15
Ricardo Landeta,Mono-Green Landfall,16
ficdu,Dimir Midrange,17
Toscano,Dimir Midrange,18
DanieerGalvez,Azorius Tempo,19
Dagoberto Silva,Izzet Lessons,20
LuisAlex,Esper Tempo,21
LiDurden,Dimir Excruciator,22
Jahmm1024,Temur Prowess,23
GermanBA,Temur Prowess,24
Ivan Martinez,Simic Ouroboroid,25
José Eduardo Gordillo Cardona,Dimir Excruciator,26
Daniel Alvarez,Bant Omniscience,27
yhsxu,Grixis Elementals,28
Hermilo Flores Davila,Temur Aggro,29
vbostereo,Bant Combo,30
Alejandro Pereira,Temur Combo,31
Pablo Duque,Dimir Excruciator,32
Carlo Alan Chávez García,Jeskai Control,33
cesar israel gomez jacome,Izzet Lessons,34
Archibal Raziel Sánchez Peralta,Mono-Green Control,35
FernandoGosch,Temur Prowess,36
Pedro Bermudez,Mono-Green Landfall,37
EddyMares,Bant Combo,38
alex_santos,Dimir Midrange,39
DaiH,Temur Prowess,40
JosueMartil456,Dimir Excruciator,41
Dikson Avila Rojas,Mono-White,42
Joaquinrobertosotocastillo,Simic Rhythm,43
Angel Geovanni Briones Medina,Dimir Reanimator,44
Master_Fer,Mono-Green Combo,45
Limit,Izzet,46
BarbaLaLeyenda,Mono-Green Landfall,47
ISACC1K2,Mono-Green Landfall,48
qzwdw,Temur Prowess,49
Vi_Rap,Azorius Flash,50
MarC101,Rakdos Monument,51
Vicro,Mono-Green Landfall,52
Burger,Temur Midrange,53
Marcelo Cruz,Mono-Green Harmonizer,54
Alexander Rosales,Simic Rhythm,55
AmethMoran,Temur Prowess,56
Cristian Ponce,Simic Rhythm,57
Mario Alejandro Flores Silva,Dimir Tempo,58
JorgeSolis,Dimir Midrange,59
Eduardo Castillo,Mono-Green Landfall,60
Marlon Jacob Avila Gutierrez,Dimir Midrange,61
GeekRanor,Golgari Midrange,62
Rolando Mendez Aguilar,Dimir Excruciator,63
MarcoDanielR RodriguezPerez,Dimir Tempo,64
Vynz,Dimir,65
MarN38,Simic Tempo,66
Allan Ayapan,Mono-Green Aggro,67
Osmalocu,Mono-Green Aggro,68
ubwly,Izzet Lessons,69
Julio Potes,Izzet Lessons,70
Jesús Solano,Mono-Green,71
BerB8,Dimir Midrange,72
Brian Lopez,Bant Combo,73
CrimsonRoyal,Esper Midrange,74
Smedina,Temur Aggro,75
Ismaelisassi97,U-B-R-G Elementals,76
Ivan Oro,Temur Aggro,77
Javier Legaspi,Temur Prowess,78
Rodolfo Juarez,Dimir Control,79
Thressen,Mono-Green Landfall,80
Newbiemx,Mono-Green Dragons,81
WilliamEliz,Mono-Green Harmonizer,82
Cesar Alvarez,Izzet Lessons,83
RafaelMan,U-B-R-G Elementals,84
reacklml,Temur Prowess,85
Julio Cesar Tadeo Jacinto,Mono-Black Midrange,86
AAmaya,Abzan Midrange,87
franck7,Selesnya Landfall,88
Sebastian Senshi Quintana,Simic Rhythm,89
Paper_Mario,Azorius,90
Enyal2218,Dimir Midrange,91
MTijerina97,Jeskai Control,92
Rod3,Simic Ouroboroid,93
Furiax,Bant Airbending,94
Gamma1001,Dimir Midrange,95
cfbba,Izzet Control,96
Julio Rivera,Dimir Tempo,97
Daniel Garcia,Dimir Excruciator,98
victor perez,Mono-Red Aggro,99
xmkaj,Izzet Lessons,100
Arkstok,Mono-Black Demons,101
Romeo Aaron Cameras Lievano,Temur Aggro,102
jnsrjzgo,Simic Ouroboroid,103
1ittleYoshi,Izzet Monument,104
Pablopga,Esper Midrange,105
cah,W-U-R-G Combo,106
Aram Madriz A,Azorius Aggro,107
Erick Manuel Lopez Basulto,Temur Combo,108
Roberto Luna,Jeskai Control,109
Drecko,Simic Aggro,110
Alexis García,Temur Prowess,111
rjjwq,Jeskai Control,112
Xray,Mono-Red Aggro,113
angfe,Izzet Lessons,114
kfbzo,Abzan Bounce,115
RODRIGO SAN JUAN,Dimir Combo,116
Alejos12,Dimir Flash,117
Javier Castellan,Bant Airbending,118
Dannog,Izzet Control,119
Alberto BoLivar,Dimir Airbending,120
Valeria Aguilar,Mono-Green Landfall,121
MiguelValdez,Dimir Midrange,122
Phantasmos,Mono-Green Aggro,123
-Legol4s-,Sultai Reanimator,124
Bruno Ramírez de Arellano García,Gruul Delirium,125
Jeff2998,Izzet Elementals,126
kzeoq,Mono-Green Landfall,127
Eltatay,Temur Otters,128
VictorCastillo,U-B-R-G Reanimator,129
Alejandro Winkler,Izzet Lessons,130
fernandojjo,Temur Tempo,131
SebastianOlivares,Dimir Control,132
Javier Calvo,Azorius Tempo,133
Marcelino Freeman,Boros Midrange,134
Tlacaelel Jimenez,Grixis,135
ELWICHOPATO,Esper Control,136
Mortis,U-B-R-G Reanimator,137
The_Palolo,Dimir,138
Raffael11,Orzhov Control,139
Tavo110506,Izzet,140
Cesar Hernandez,Temur Prowess,141
Downpour,Dimir Control,142
IsaiasCantu,Azorius Tempo,143
Luis Mondragón,Rakdos Monument,144
RicardoV,Gruul Ouroboroid,145
DannLemmon,Izzet Spellementals,146
VicM27,Naya,147
Jairo04,Azorius Control,148
ANTONIO GUZMAN VAZQUEZ,Mono-Green,149
DrBrand,Boros Dragons,150
Charliezard21,Temur,151
Arleni,Azorius Tempo,152
BERNABE PEREZ POPOCATL,Dimir Midrange,153
Soulgreen,Simic Ouroboroid,154
Pablo Mendez,Jeskai Control,155
RicP7,Jeskai Control,156
ErickPat,Dimir Tempo,157
Kevzal,Izzet,158
VallaNico,Temur Prowess,159
daniel isaias,Dimir Tempo,160
toxic0,Dimir Control,161
ELLIN,Izzet Spellementals,162
mtgborre,Gruul Harmonizer,163
Victor Maya,Izzet Lessons,164
hcdxr,Dimir Excruciator,165
Daniel Rodriguez,Azorius Midrange,166
MConchitaFr,Jeskai Control,167
RafZ1,Mono-White Control,168
Luis Chavez,W-U-B-R Control,169
JoseCed,Izzet Lessons,170
Ivan Cortes,Izzet Spellementals,171
Frade,Azorius Tempo,172
vikoalex,Jeskai Control,173
yvwpy,Orzhov Control,174
Gurgehmorat,Gruul Delirium,175
sxhcz,Jeskai Artifacts,176
AaronAngeles,Temur Aggro,177
Dalibor Trnka,Izzet Lessons,178
RafaelPerez,Dimir Aggro,179
aaoft,Dimir Combo,180
