Round,Table,Players,Decks,Winner
Round 2,109,"Adrian Shalchi He/Him
Wrath8805","Izzet Prowess
Temur Landfall",Adrian Shalchi won 2-0-0
Round 2,110,"RyanDesmarais
Zykles","Mono-Green Landfall
Jeskai Control",Zykles won 2-0-0
Round 2,111,"Brandantheguy
ilovegoblins","Temur Midrange
Mono-Red Aggro",ilovegoblins won 2-1-0
Round 2,112,"kirbymacatangay He/Him
Bruce johnson He/Him","Azorius Tempo
Azorius Tempo",kirbymacatangay won 2-0-0
Round 2,113,"BestSmurgNA
Lagdroth","Dimir Demons
Simic Rhythm",BestSmurgNA won 2-1-0
Round 2,114,"Young Zhou
Peter Handy He/Him","Mono-Green Landfall
Izzet Lessons",Young Zhou won 2-1-0
Round 2,115,"JamesLaing He/Him
Jonathon Miller","Sultai Reanimator
Jeskai Control",1-1-0 Draw
Round 2,116,"Roderick Potter
NeilsonZhang","Dimir Midrange
Dimir Midrange",NeilsonZhang won 2-0-0
Round 2,117,"Clint Taylor
GrizzlyNate He/Him","Sultai Elementals
Izzet Prowess",Clint Taylor won 2-1-0
Round 2,118,"Asha Mills Emmett They/Them
Erik Yzeiri","Izzet Prowess
Grixis Monument",Erik Yzeiri won 2-1-0
Round 2,119,"DunM4
HectorMoses He/Him","Jeskai Control
Mono-Red Aggro",HectorMoses won 2-0-0
Round 2,120,"Dawson Courson He/Him
dagbaker He/Him","Dimir Doomsday
Azorius Tempo",Dawson Courson won 2-0-0
Round 3,-,BorosBen,Boros Dragons,BorosBen was assigned a bye
Round 3,1,"Matthew Beattie He/Him
Zoza","Simic Rhythm
Mono-Green Landfall",Zoza won 2-0-0
Round 3,2,"Matthew Stefans
AlexMacIsaac He/Him","Mono-Green Landfall
U-B-R-G Prowess",Matthew Stefans won 2-1-0
Round 3,3,"Davey Noble He/Him
Jameslam He/Him","Izzet Spellementals
Izzet Prowess",Davey Noble won 2-1-0
Round 3,4,"Kyle Gellert He/Him
Olive Reed She/Her","Jeskai Lessons
Dimir Midrange",Olive Reed won 2-0-0
Round 3,5,"Ryan Primdahl He/Him
ValentineW He/Him","Izzet Prowess
Dimir Midrange",Ryan Primdahl won 2-0-0
Round 3,6,"Anthony Soon
Nam Dang","Dimir Doomsday
Izzet Lessons",Nam Dang won 2-1-0
Round 3,7,"Brian Ly
Daniel Lee","Sultai Reanimator
Azorius Control",Brian Ly won 2-0-0
Round 3,8,"James Lloyd
Randall Litman","Izzet Spellementals
Izzet Spellementals",James Lloyd won 2-0-0
Round 3,9,"Mason Wong He/Him
Gabriel Bernier He/Him","Izzet Spellementals
Dimir Midrange",Gabriel Bernier won 2-1-0
Round 3,10,"ShandroMcassey
Ken Darlington He/Him","Dimir Midrange
Dimir Midrange",Ken Darlington won 2-1-0
Round 3,11,"Mathew Stein He/Him
Terrence Johnstone He/Him","Izzet Lessons
Rakdos Monument",Mathew Stein won 2-1-0
Round 3,12,"MaxWinkelman
danielooo He/Him","Temur Prowess
Mono-Green Landfall",1-1-0 Draw
Round 3,13,"Rin Porter She/They
Kevin Anctil He/Him","Izzet Elementals
Mono-Green Landfall",Kevin Anctil won 2-1-0
Round 3,14,"Spencer Shaw Jaworek He/Him
HappySandwich He/Him","Jeskai Control
Mono-Green Landfall",HappySandwich won 2-0-0
Round 3,15,"Tyler Simon
Mark Weedon He/Him","Izzet Prowess
Dimir Demons",Mark Weedon won 2-1-0
Round 3,16,"Nikola Drazenovic He/They
EllieThePurple She/Her","Izzet Lessons
Jeskai Control",EllieThePurple won 2-1-0
Round 3,17,"Delamar Singh
Alexandre Livernoche He/Him","Boros Dragons
Boros Dragons",Alexandre Livernoche won 2-0-0
Round 3,18,"Winnie Bowser She/Her
keithcapstick","Simic Ouroboroid
Mono-Green Landfall",Winnie Bowser won 2-0-0
Round 3,19,"Jonathan Delos Trinos
Alexandre Furstenberger He/Him","Temur Landfall
Bant Rhythm",Jonathan Delos Trinos won 2-0-0
Round 3,20,"Nemanja Karadzic
Burke Horst He/Him","Mono-Green Landfall
Mono-Green Landfall",Burke Horst won 2-0-0
Round 3,21,"EdeS She/Her
Alyssa Oatridge She/Her","Mono-Green Aggro
Boros Dragons",Alyssa Oatridge won 2-1-0
Round 3,22,"Brian Bonnell He/Him
MicC26","Izzet Elementals
Simic Rhythm",Brian Bonnell won 2-1-0
Round 3,23,"Steven Miclette He/They
Simone Maletto He/Him","Jeskai Midrange
Sultai Ouroboroid",Simone Maletto won 2-0-0
Round 3,24,"Andy Peters He/Him
Kody Fanara He/Him","Izzet Lessons
Izzet Spellementals",Kody Fanara won 2-0-0
Round 3,25,"Michael Knie
Elliot Fortier He/They","Temur Omniscience
Mono-Green Landfall",Elliot Fortier won 2-1-0
Round 3,26,"Avery Shoemaker
Dustyn Nogueira He/Him","Simic Rhythm
Dimir Demons",Dustyn Nogueira won 2-1-0
Round 3,27,"Chris Yao
Jonathan_Hsu He/Him","Temur Landfall
Bant Airbending",Chris Yao won 2-0-0
Round 3,28,"TommyG09
outskip","Izzet Blink
Simic Midrange",outskip won 2-0-0
Round 3,29,"Alan Christopher
Cameron Sweetnam","Mono-Green Landfall
4C Elementals",Cameron Sweetnam won 2-0-0
Round 3,30,"Tate Smith He/They
Peter Shmanka He/Him","Dimir Midrange
Dimir Midrange",Peter Shmanka won 2-1-0
Round 3,31,"Nicholas Shott
Carson Ziegler He/Him","Izzet Prowess
Izzet Lessons",Nicholas Shott won 2-1-0
Round 3,32,"colesmith
Steven Fiebelkorn He/Him","Jeskai Control
Izzet Prowess",Steven Fiebelkorn won 2-0-0
Round 3,33,"Mazianos
Anthony Frederiksson He/Him","Dimir Demons
Naya Yuna",Mazianos won 2-1-0
Round 3,34,"Brady Kiesling
Draven Jolicoeur He/Him","Mono-Green Landfall
Sultai Reanimator",Draven Jolicoeur won 2-1-0
Round 3,35,"LemonHawk
Ben Sobol","Dimir Reanimator
Naya Yuna",Ben Sobol won 2-1-0
Round 3,36,"BiGPHiL He/Him
KylC28","Simic Combo
Simic Rhythm",KylC28 won 2-0-0
Round 3,37,"Horsey He/Him
Jonathan Richardson","Izzet Combo
Jeskai Control",Jonathan Richardson won 2-0-0
Round 3,38,"Guillighan
MicO3","Izzet Elementals
Izzet Elementals",MicO3 won 2-0-0
Round 3,39,"ryan putigna He/Him
Arun Jolly Marlier He/Him","Dimir Midrange
Dimir Demons",ryan putigna won 2-0-0
Round 3,40,"BrandonDrake He/Him
Alex Aitken He/Him","Izzet Prowess
Temur Prowess",Alex Aitken won 2-0-0
Round 3,41,"Adam Bruni He/Him
Roberto Cibrian Stockbridge He/Him","Izzet Prowess
Izzet Spellementals",Roberto Cibrian Stockbridge won 2-0-0
Round 3,42,"Adrian Shalchi He/Him
Andrea Smith She/Her","Izzet Prowess
Mono-Green Landfall",Adrian Shalchi won 2-1-0
Round 3,43,"Brian Thai
Brock Read","Dimir Midrange
Mono-Black Demons",Brock Read won 2-1-0
Round 3,44,"Tobias Roos
SashaFarenyuk He/Him","Mono-Green Landfall
Simic Rhythm",SashaFarenyuk won 2-0-0
Round 3,45,"Kyle Miller He/Him
Todder007 He/Him","Izzet Elementals
Simic Ouroboroid",Kyle Miller won 2-0-0
Round 3,46,"JJazokas
privacybydefault","Jeskai Control
Mono-Red Aggro",privacybydefault won 2-0-0
Round 3,47,"Farrell Pujokusumo He/Him
jordyyyy He/Him","Dimir Control
Izzet Spellementals",Farrell Pujokusumo won 2-1-0
Round 3,48,"Sugar Shane
Edgar Magalhaes","Mono-Black Demons
Dimir Control",Sugar Shane won 2-0-0
Round 3,49,"Jason Clark He/Him
EriW28","Dimir Demons
U-B-R-G Reanimator",Jason Clark won 2-1-0
Round 3,50,"mgraesslin
Marcus King He/Him","Temur Landfall
Golgari Combo",mgraesslin won 2-0-0
Round 3,51,"Gavin Bennett He/Him
Les Bakker He/Him","W-U-B-R Control
Sultai Reanimator",Gavin Bennett won 2-1-0
Round 3,52,"BestSmurgNA
John Vanderby","Dimir Demons
Izzet Lessons",BestSmurgNA won 2-0-0
Round 3,53,"Kody Lyons He/Him
Luna Lawrence She/They","Temur Prowess
Jeskai Control",Kody Lyons won 2-1-0
Round 3,54,"Nick Newburg
NeilsonZhang","Dimir Demons
Dimir Midrange",Nick Newburg won 2-1-0
Round 3,55,"Tecklin
kirbymacatangay He/Him","Temur Combo
Azorius Tempo",kirbymacatangay won 2-1-0
Round 3,56,"Luca Cherpillod
KelS3","Sultai Reanimator
Sultai Reanimator",Luca Cherpillod won 2-1-0
Round 3,57,"skranbets
StevenU He/Him","Izzet Prowess
Azorius Control",skranbets won 2-0-0
Round 3,58,"JosR17 He/Him
Markus Thibeau He/Him","Izzet Lessons
Grixis Monument",Markus Thibeau won 2-0-0
Round 3,59,"Bryce Hawkins He/They
Gareth Antle They/Them","Izzet Lessons
W-U-B-R Midrange",Bryce Hawkins won 2-0-0
Round 3,60,"NathanielK They/Them
Matthew Hyndman He/Him","Izzet Lessons
Temur Landfall",NathanielK won 2-0-0
Round 3,61,"Willam He/Him
NicH He/Him","Mono-Green Landfall
Jeskai Control",Willam won 2-0-0
Round 3,62,"TehscrubblyMTG
Noel Robin He/Him","Azorius Tempo
Izzet Midrange",Noel Robin won 2-1-0
Round 3,63,"Andrew Kidston
Joshua Saruga He/They","Izzet Lessons
Mono-Red Aggro",Andrew Kidston won 2-1-0
Round 3,64,"yizl1
Jonah Fox","Izzet Lessons
Dimir Demons",yizl1 won 2-1-0
Round 3,65,"HyacintheK
PhilipLi","Mono-Green Landfall
Dimir Bounce",PhilipLi won 2-0-0
Round 3,66,"Linden Koot He/Him
Drew Weber","Dimir Bounce
Azorius Tempo",Linden Koot won 2-0-0
Round 3,67,"Sebastian Clancy He/Him
David Schnayer He/Him","Rakdos Monument
Izzet Elementals",David Schnayer won 2-1-0
Round 3,68,"Erik Yzeiri
Théo Jacques-Griffin He/Him","Grixis Monument
Temur Prowess",Théo Jacques-Griffin won 2-0-0
Round 3,69,"Tyler White
Brian Wong He/Him","W-U-B-R Control
Azorius Tempo",Tyler White won 2-0-0
Round 3,70,"awilliams999
Graham Gibb He/Him","Izzet Spellementals
Dimir Midrange",awilliams999 won 2-0-0
Round 3,71,"Sean Hunter He/Him
Zykles","Dimir Midrange
Jeskai Control",Sean Hunter won 2-1-0
Round 3,72,"Sarah England She/Her
superbainer He/Him","Mono-Red Aggo
Jeskai Control",Sarah England won 2-0-0
Round 3,73,"Omry Gribov He/Him
Tom Cairns","Izzet Lessons
W-U-R-G Control",Omry Gribov won 2-1-0
Round 3,74,"Ian Hancock He/Him
Clint Taylor","Rakdos Aggro
Sultai Elementals",Ian Hancock won 2-1-0
Round 3,75,"Kevin Besta He/Him
Rob Stach","Izzet Prowess
Izzet Spellementals",Kevin Besta won 2-0-0
Round 3,76,"Mel Woods They/Them
ilovegoblins","W-U-B-R-G Allies
Mono-Red Aggro",Mel Woods won 2-1-0
Round 3,77,"Dawson Courson He/Him
quinn pollock She/Her","Dimir Doomsday
W-U-B-R Midrange",quinn pollock won 2-1-0
Round 3,78,"Mark Patton He/Him
HectorMoses He/Him","Dimir Doomsday
Mono-Red Aggro",HectorMoses won 2-1-0
Round 3,79,"Phillip Hurst He/Him
Alex12","Dimir Demons
Golgari",Phillip Hurst won 2-0-0
Round 3,80,"James Berglund
Jack Potter He/Him","Izzet Spellementals
Simic Ouroboroid",James Berglund won 2-1-0
Round 3,81,"george ren
Omar B","Dimir Doomsday
Dimir Midrange",Omar B won 2-0-0
Round 3,82,"FlameStrata
Thomas Nennich","Azorius Tempo
Bant Airbending",1-1-1 Draw
Round 3,83,"Dominic Harvey He/Him
kranity","Izzet Lessons
Boros Dragons",Dominic Harvey won 2-1-0
Round 3,84,"BraB85
GordonTonner","5C Rhythm
Mono-Green Landfall",GordonTonner won 2-0-0
Round 3,85,"Conor Hickey He/Him
YarrMorgan He/Him","Mono-Red Aggro
Rakdos Monument",Conor Hickey won 2-0-0
Round 3,86,"DevW1
Derek Pite","Dimir Midrange
Izzet Lessons",Derek Pite won 2-0-0
Round 3,87,"Daniel Fournier He/Him
Joel Repta","Mono-Green Landfall
Izzet Lessons",Daniel Fournier won 2-0-0
Round 3,88,"Synaru
psdelver","Mono-Green Landfall
Dimir Midrange",Synaru won 2-1-0
Round 3,89,"TJ Kimmie He/Him
Sheldon Sequeira","Jeskai Control
Dimir Midrange",1-1-0 Draw
Round 3,90,"Jules brown He/Him
JamesLaing He/Him","Orzhov Control
Sultai Reanimator",JamesLaing won 2-1-0
Round 3,91,"Jonathon Miller
Tyler Enright He/Him","Jeskai Control
Izzet Blink",Jonathon Miller won 2-1-0
Round 3,92,"MarG
Bryan Blouin","Jeskai Control
Dimir Midrange",MarG won 2-1-0
Round 3,93,"Young Zhou
january She/Her","Mono-Green Landfall
Mono-Green Landfall",january won 2-0-0
Round 3,94,"GrizzlyNate He/Him
WhatTheHeck","Izzet Prowess
Sultai Reanimator",WhatTheHeck won 2-0-0
Round 3,95,"Lagdroth
dagbaker He/Him","Simic Rhythm
Azorius Tempo",dagbaker won 2-1-0
Round 3,96,"Zachary Leach He/Him
erwinli He/Him","Gruul
Boros Dragons",Zachary Leach won 2-0-0
Round 3,97,"Doria Keung She/Her
Roderick Potter","Azorius
Dimir Midrange",Doria Keung won 2-0-0
Round 3,98,"Lena Stone She/Her
Adham Momen","Dimir Midrange
Azorius Tempo",Adham Momen won 2-0-0
Round 3,99,"maxorag
Zackaryschneider1111","Mono-Black Midrange
Izzet Combo",Zackaryschneider1111 won 2-0-0
Round 3,100,"Georges Turcotte He/Him
angelo_g","Dimir Reanimator
Jeskai",Georges Turcotte won 2-0-0
Round 3,101,"Peter Handy He/Him
daceris","Izzet Lessons
Izzet Lessons",Peter Handy won 2-1-0
Round 3,102,"Kris Wishinski
Brandantheguy","Mono-White
Temur Midrange",Kris Wishinski won 2-0-0
Round 3,103,"Anthony Lee He/Him
Boston Schatteman He/Him","Temur Prowess
Izzet Prowess",Anthony Lee won 2-1-0
Round 3,104,"James Stevenson He/Him
William La Hay He/Him","Dimir Midrange
Jeskai Control",William La Hay won 2-0-0
Round 3,105,"Kendrick Monreal He/Him
Larry Li","Simic Rhythm
Mono-Green Landfall",Kendrick Monreal won 2-1-0
Round 3,106,"Zak Turchansky Other
Alex Hatch","Izzet Prowess
Dimir Bounce",Zak Turchansky won 2-0-0
Round 3,107,"Drew Christensen
Chris Stevens","Dimir Demons
Azorius Tempo",Chris Stevens won 2-1-0
Round 3,108,"Connor Dyck
Caleb Shannon He/Him","Rakdos Monument
Bant Airbending",Caleb Shannon won 2-0-0
Round 3,109,"DunM4
Xiao Yu (Roy) Yang He/Him","Jeskai Control
Dimir Midrange",Xiao Yu (Roy) Yang won 2-0-0
Round 3,110,"Matthew Baros-Steyl He/Him
Bruce johnson He/Him","Izzet Prowess
Azorius Tempo",Matthew Baros-Steyl won 2-0-0
Round 3,111,"Julian David He/Him
Chris Donetz","Izzet Lessons
Mono-Red Aggro",Julian David won 2-0-0
Round 3,112,"Liam Hoban He/Him
RyanDesmarais","Dimir Control
Mono-Green Landfall",RyanDesmarais won 2-1-0
Round 3,113,"ChrI6 He/Him
tannerzinck","W-U-B-G Reanimator
Boros Aggro",ChrI6 won 2-0-0
Round 3,114,"Shraximus
Noel Herbert He/Him","Jeskai Control
4c Elementals",Noel Herbert won 2-0-0
Round 3,115,"davinates He/They
Kasey Fanara","Azorius Tempo
Boros Dragons",Kasey Fanara won 2-0-0
Round 3,116,"Rae Aurelia She/Her
Wrath8805","Golgari Ouroboroid
Temur Landfall",Rae Aurelia won 2-1-0
Round 3,117,"Peebnut
Terabyne","Boros Dragons
Izzet Spellementals",Peebnut won 2-0-0
Round 3,118,"Jozef Telecki
Jericho Aguilar","Izzet Lessons
Esper Reanimator",Jericho Aguilar won 2-1-0
Round 3,119,"David Booker He/Him
Asha Mills Emmett They/Them","Sultai Elementals
Izzet Prowess",Asha Mills Emmett won 2-0-0
Round 4,-,davinates He/They,Azorius Tempo,davinates was assigned a bye
Round 4,1,"Jonathan Delos Trinos
Simone Maletto He/Him","Temur Landfall
Sultai Ouroboroid",Jonathan Delos Trinos won 2-1-0
Round 4,2,"Zoza
Dustyn Nogueira He/Him","Mono-Green Landfall
Dimir Demons",Zoza won 2-0-0
Round 4,3,"Gabriel Bernier He/Him
Kody Fanara He/Him","Dimir Midrange
Izzet Spellementals",Kody Fanara won 2-0-0
Round 4,4,"James Lloyd
Elliot Fortier He/They","Izzet Spellementals
Mono-Green Landfall",Elliot Fortier won 2-0-0
Round 4,5,"Mathew Stein He/Him
Burke Horst He/Him","Izzet Lessons
Mono-Green Landfall",Mathew Stein won 2-1-0
Round 4,6,"Olive Reed She/Her
Winnie Bowser She/Her","Dimir Midrange
Simic Ouroboroid",Winnie Bowser won 2-1-0
Round 4,7,"HappySandwich He/Him
Kevin Anctil He/Him","Mono-Green Landfall
Mono-Green Landfall",Kevin Anctil won 2-1-0
Round 4,8,"EllieThePurple She/Her
Brian Bonnell He/Him","Jeskai Control
Izzet Elementals",EllieThePurple won 2-1-0
Round 4,9,"Ryan Primdahl He/Him
Davey Noble He/Him","Izzet Prowess
Izzet Spellementals",Ryan Primdahl won 2-1-0
Round 4,10,"Alexandre Livernoche He/Him
Ken Darlington He/Him","Boros Dragons
Dimir Midrange",Ken Darlington won 2-1-0
Round 4,11,"Nam Dang
Alyssa Oatridge She/Her","Izzet Lessons
Boros Dragons",Alyssa Oatridge won 2-1-0
Round 4,12,"Chris Yao
Brian Ly","Temur Landfall
Sultai Reanimator",Chris Yao won 2-0-0
Round 4,13,"Matthew Stefans
Mark Weedon He/Him","Mono-Green Landfall
Dimir Demons",Matthew Stefans won 2-0-0
Round 4,14,"Noel Robin He/Him
Randall Litman","Izzet Midrange
Izzet Spellementals",1-1-1 Draw
Round 4,15,"danielooo He/Him
Cameron Sweetnam","Mono-Green Landfall
4C Elementals",Cameron Sweetnam won 2-0-0
Round 4,16,"outskip
Steven Fiebelkorn He/Him","Simic Midrange
Izzet Prowess",Steven Fiebelkorn won 2-0-0
Round 4,17,"MaxWinkelman
january She/Her","Temur Prowess
Mono-Green Landfall",january won 2-1-0
Round 4,18,"ryan putigna He/Him
yizl1","Dimir Midrange
Izzet Lessons",yizl1 won 3-0-0
Round 4,19,"Linden Koot He/Him
AlexMacIsaac He/Him","Dimir Bounce
U-B-R-G Prowess",Linden Koot won 2-1-0
Round 4,20,"ValentineW He/Him
Omar B","Dimir Midrange
Dimir Midrange",ValentineW won 2-0-0
Round 4,21,"skranbets
Michael Knie","Izzet Prowess
Temur Omniscience",Michael Knie won 2-0-0
Round 4,22,"Théo Jacques-Griffin He/Him
Phillip Hurst He/Him","Temur Prowess
Dimir Demons",Phillip Hurst won 2-1-0
Round 4,23,"Kevin Besta He/Him
Anthony Lee He/Him","Izzet Prowess
Temur Prowess",Kevin Besta won 2-1-0
Round 4,24,"Kyle Gellert He/Him
Luca Cherpillod","Jeskai Lessons
Sultai Reanimator",Kyle Gellert won 2-1-0
Round 4,25,"GordonTonner
Spencer Shaw Jaworek He/Him","Mono-Green Landfall
Jeskai Control",GordonTonner won 2-1-0
Round 4,26,"Synaru
Tyler White","Mono-Green Landfall
W-U-B-R Control",Synaru won 2-1-0
Round 4,27,"Kyle Miller He/Him
Andrew Kidston","Izzet Elementals
Izzet Lessons",Andrew Kidston won 2-0-0
Round 4,28,"Sarah England She/Her
mgraesslin","Mono-Red Aggo
Temur Landfall",mgraesslin won 2-1-0
Round 4,29,"Nick Newburg
Nikola Drazenovic He/They","Dimir Demons
Izzet Lessons",Nikola Drazenovic won 2-1-0
Round 4,30,"Draven Jolicoeur He/Him
Markus Thibeau He/Him","Sultai Reanimator
Grixis Monument",Markus Thibeau won 2-0-0
Round 4,31,"Kody Lyons He/Him
Alex Aitken He/Him","Temur Prowess
Temur Prowess",Kody Lyons won 2-1-0
Round 4,32,"Rin Porter She/They
Andy Peters He/Him","Izzet Elementals
Izzet Lessons",Rin Porter won 2-0-0
Round 4,33,"NathanielK They/Them
Ian Hancock He/Him","Izzet Lessons
Rakdos Aggro",NathanielK won 2-0-0
Round 4,34,"Willam He/Him
EdeS She/Her","Mono-Green Landfall
Mono-Green Aggro",Willam won 2-0-0
Round 4,35,"Brock Read
Daniel Fournier He/Him","Mono-Black Demons
Mono-Green Landfall",Daniel Fournier won 2-0-0
Round 4,36,"BiGPHiL He/Him
David Booker He/Him","Simic Combo
Sultai Elementals",David Booker won 2-0-0
Round 4,37,"Chris Stevens
Jonathan Richardson","Azorius Tempo
Jeskai Control",Chris Stevens won 2-0-0
Round 4,38,"PhilipLi
James Berglund","Dimir Bounce
Izzet Spellementals",PhilipLi won 2-1-0
Round 4,39,"Matthew Beattie He/Him
Conor Hickey He/Him","Simic Rhythm
Mono-Red Aggro",Matthew Beattie won 2-1-0
Round 4,40,"HectorMoses He/Him
Mazianos","Mono-Red Aggro
Dimir Demons",Mazianos won 2-1-0
Round 4,41,"Omry Gribov He/Him
keithcapstick","Izzet Lessons
Mono-Green Landfall",keithcapstick won 2-0-0
Round 4,42,"Terrence Johnstone He/Him
Steven Miclette He/They","Rakdos Monument
Jeskai Midrange",Terrence Johnstone won 2-1-0
Round 4,43,"Gavin Bennett He/Him
Tyler Simon","W-U-B-R Control
Izzet Prowess",Gavin Bennett won 2-1-0
Round 4,44,"Derek Pite
Farrell Pujokusumo He/Him","Izzet Lessons
Dimir Control",Farrell Pujokusumo won 2-1-0
Round 4,45,"ShandroMcassey
Sean Hunter He/Him","Dimir Midrange
Dimir Midrange",ShandroMcassey won 2-0-0
Round 4,46,"Nicholas Shott
privacybydefault","Izzet Prowess
Mono-Red Aggro",Nicholas Shott won 2-0-0
Round 4,47,"Jonathan_Hsu He/Him
Roberto Cibrian Stockbridge He/Him","Bant Airbending
Izzet Spellementals",Roberto Cibrian Stockbridge won 2-1-0
Round 4,48,"Sugar Shane
Peter Shmanka He/Him","Mono-Black Demons
Dimir Midrange",Sugar Shane won 2-0-0
Round 4,49,"Dominic Harvey He/Him
Jason Clark He/Him","Izzet Lessons
Dimir Demons",Jason Clark won 2-1-0
Round 4,50,"Jameslam He/Him
Daniel Lee","Izzet Prowess
Azorius Control",Jameslam won 2-0-0
Round 4,51,"Avery Shoemaker
Anthony Soon","Simic Rhythm
Dimir Doomsday",Avery Shoemaker won 2-1-0
Round 4,52,"Ben Sobol
Alexandre Furstenberger He/Him","Naya Yuna
Bant Rhythm",Ben Sobol won 2-0-0
Round 4,53,"TommyG09
awilliams999","Izzet Blink
Izzet Spellementals",TommyG09 won 2-1-0
Round 4,54,"quinn pollock She/Her
Mason Wong He/Him","W-U-B-R Midrange
Izzet Spellementals",Mason Wong won 2-1-0
Round 4,55,"BestSmurgNA
Adrian Shalchi He/Him","Dimir Demons
Izzet Prowess",Adrian Shalchi won 2-0-0
Round 4,56,"Nemanja Karadzic
SashaFarenyuk He/Him","Mono-Green Landfall
Simic Rhythm",SashaFarenyuk won 2-0-0
Round 4,57,"Bryce Hawkins He/They
Mel Woods They/Them","Izzet Lessons
W-U-B-R-G Allies",Bryce Hawkins won 2-0-0
Round 4,58,"MicO3
colesmith","Izzet Elementals
Jeskai Control",colesmith won 2-0-0
Round 4,59,"Edgar Magalhaes
Thomas Nennich","Dimir Control
Bant Airbending",Edgar Magalhaes won 2-0-0
Round 4,60,"MarG
JamesLaing He/Him","Jeskai Control
Sultai Reanimator",MarG won 2-1-0
Round 4,61,"FlameStrata
Alan Christopher","Azorius Tempo
Mono-Green Landfall",FlameStrata won 2-0-0
Round 4,62,"Jonathon Miller
Tate Smith He/They","Jeskai Control
Dimir Midrange",Tate Smith won 2-1-0
Round 4,63,"Guillighan
Georges Turcotte He/Him","Izzet Elementals
Dimir Reanimator",1-1-0 Draw
Round 4,64,"Tecklin
Adham Momen","Temur Combo
Azorius Tempo",Adham Momen won 2-0-0
Round 4,65,"Asha Mills Emmett They/Them
JosR17 He/Him","Izzet Prowess
Izzet Lessons",Asha Mills Emmett won 2-0-0
Round 4,66,"Anthony Frederiksson He/Him
DevW1","Naya Yuna
Dimir Midrange",DevW1 won 2-1-0
Round 4,67,"EriW28
Noel Herbert He/Him","U-B-R-G Reanimator
4c Elementals",Noel Herbert won 2-0-0
Round 4,68,"StevenU He/Him
Jonah Fox","Azorius Control
Dimir Demons",StevenU won 2-0-0
Round 4,69,"psdelver
Peebnut","Dimir Midrange
Boros Dragons",Peebnut won 2-1-0
Round 4,70,"Erik Yzeiri
kranity","Grixis Monument
Boros Dragons",Erik Yzeiri won 2-1-0
Round 4,71,"Mark Patton He/Him
BorosBen","Dimir Doomsday
Boros Dragons",BorosBen won 2-0-0
Round 4,72,"dagbaker He/Him
Peter Handy He/Him","Azorius Tempo
Izzet Lessons",dagbaker won 2-1-0
Round 4,73,"Joel Repta
YarrMorgan He/Him","Izzet Lessons
Rakdos Monument",YarrMorgan won 2-0-0
Round 4,74,"Doria Keung She/Her
Brian Wong He/Him","Azorius
Azorius Tempo",Brian Wong won 2-0-0
Round 4,75,"Sebastian Clancy He/Him
Zackaryschneider1111","Rakdos Monument
Izzet Combo",Sebastian Clancy won 2-1-0
Round 4,76,"Kris Wishinski
BraB85","Mono-White
5C Rhythm",Kris Wishinski won 2-0-0
Round 4,77,"Tobias Roos
NeilsonZhang","Mono-Green Landfall
Dimir Midrange",NeilsonZhang won 2-1-0
Round 4,78,"David Schnayer He/Him
kirbymacatangay He/Him","Izzet Elementals
Azorius Tempo",David Schnayer won 2-1-0
Round 4,79,"george ren
Rae Aurelia She/Her","Dimir Doomsday
Golgari Ouroboroid",george ren won 2-0-0
Round 4,80,"KelS3
Arun Jolly Marlier He/Him","Sultai Reanimator
Dimir Demons",Arun Jolly Marlier won 2-0-0
Round 4,81,"BrandonDrake He/Him
Clint Taylor","Izzet Prowess
Sultai Elementals",Clint Taylor won 2-1-0
Round 4,82,"William La Hay He/Him
Matthew Hyndman He/Him","Jeskai Control
Temur Landfall",Matthew Hyndman won 2-0-0
Round 4,83,"jordyyyy He/Him
TJ Kimmie He/Him","Izzet Spellementals
Jeskai Control",1-1-0 Draw
Round 4,84,"Kasey Fanara
Zykles","Boros Dragons
Jeskai Control",Kasey Fanara won 2-1-0
Round 4,85,"Adam Bruni He/Him
Dawson Courson He/Him","Izzet Prowess
Dimir Doomsday",Adam Bruni won 2-0-0
Round 4,86,"Zachary Leach He/Him
JJazokas","Gruul
Jeskai Control",1-1-0 Draw
Round 4,87,"Caleb Shannon He/Him
Gareth Antle They/Them","Bant Airbending
W-U-B-R Midrange",Caleb Shannon won 2-0-0
Round 4,88,"Drew Weber
Kendrick Monreal He/Him","Azorius Tempo
Simic Rhythm",Kendrick Monreal won 2-0-0
Round 4,89,"Matthew Baros-Steyl He/Him
Young Zhou","Izzet Prowess
Mono-Green Landfall",Matthew Baros-Steyl won 2-0-0
Round 4,90,"ilovegoblins
NicH He/Him","Mono-Red Aggro
Jeskai Control",NicH won 2-0-0
Round 4,91,"Carson Ziegler He/Him
Marcus King He/Him","Izzet Lessons
Golgari Combo",Marcus King won 2-1-0
Round 4,92,"Brian Thai
Jack Potter He/Him","Dimir Midrange
Simic Ouroboroid",Jack Potter won 2-0-0
Round 4,93,"Xiao Yu (Roy) Yang He/Him
Julian David He/Him","Dimir Midrange
Izzet Lessons",Xiao Yu (Roy) Yang won 2-1-0
Round 4,94,"Tom Cairns
Alex12","W-U-R-G Control
Golgari",Alex12 won 2-1-0
Round 4,95,"Les Bakker He/Him
RyanDesmarais","Sultai Reanimator
Mono-Green Landfall",RyanDesmarais won 2-1-0
Round 4,96,"LemonHawk
John Vanderby","Dimir Reanimator
Izzet Lessons",John Vanderby won 2-0-0
