Round,Table,Players,Decks,Winner
Round 1,51,"Jonathan_Hsu He/Him
Tecklin","Bant Airbending
Temur Combo",Jonathan_Hsu won 2-1-0
Round 1,52,"Théo Jacques-Griffin He/Him
Kody Fanara He/Him","Temur Prowess
Izzet Spellementals",Kody Fanara won 2-0-0
Round 1,53,"Zackaryschneider1111
Joel Repta","Izzet Combo
Izzet Lessons",Joel Repta won 2-0-0
Round 1,54,"Rob Stach
Erik Yzeiri","Izzet Spellementals
Grixis Monument",Rob Stach won 2-0-0
Round 1,55,"Matthew Beattie He/Him
Kris Wishinski","Simic Rhythm
Mono-White",Matthew Beattie won 2-0-0
Round 1,56,"Linden Koot He/Him
skranbets","Dimir Bounce
Izzet Prowess",Linden Koot won 2-1-0
Round 1,57,"erwinli He/Him
Simone Maletto He/Him","Boros Dragons
Sultai Ouroboroid",Simone Maletto won 2-1-0
Round 1,58,"Horsey He/Him
Brock Read","Izzet Combo
Mono-Black Demons",Brock Read won 2-0-0
Round 1,59,"Alex Hatch
JosR17 He/Him","Dimir Bounce
Izzet Lessons",JosR17 won 2-1-0
Round 1,60,"Brandantheguy
HyacintheK","Temur Midrange
Mono-Green Landfall",HyacintheK won 2-0-0
Round 1,61,"MaxWinkelman
Adam Bruni He/Him","Temur Prowess
Izzet Prowess",MaxWinkelman won 2-1-0
Round 1,62,"Jonah Fox
davinates He/They","Dimir Demons
Azorius Tempo",Jonah Fox won 2-1-0
Round 1,63,"Elliot Fortier He/They
Omry Gribov He/Him","Mono-Green Landfall
Izzet Lessons",Elliot Fortier won 2-0-0
Round 1,64,"Tyler Enright He/Him
TJ Kimmie He/Him","Izzet Blink
Jeskai Control",1-1-0 Draw
Round 1,65,"ilovegoblins
jordyyyy He/Him","Mono-Red Aggro
Izzet Spellementals",jordyyyy won 2-1-0
Round 1,66,"Cameron Sweetnam
MarG","4C Elementals
Jeskai Control",1-1-0 Draw
Round 1,67,"SashaFarenyuk He/Him
Daniel Fournier He/Him","Simic Rhythm
Mono-Green Landfall",SashaFarenyuk won 2-1-0
Round 1,68,"YarrMorgan He/Him
tannerzinck","Rakdos Monument
Boros Aggro",YarrMorgan won 2-0-0
Round 1,69,"danielooo He/Him
george ren","Mono-Green Landfall
Dimir Doomsday",danielooo won 2-0-0
Round 1,70,"Ben Sobol
MicC26","Naya Yuna
Simic Rhythm",MicC26 won 2-0-0
Round 1,71,"Lagdroth
Delamar Singh","Simic Rhythm
Boros Dragons",Delamar Singh won 2-0-0
Round 1,72,"LemonHawk
Arun Jolly Marlier He/Him","Dimir Reanimator
Dimir Demons",Arun Jolly Marlier won 2-1-0
Round 1,73,"Nicholas Shott
EllieThePurple She/Her","Izzet Prowess
Jeskai Control",EllieThePurple won 2-1-0
Round 1,74,"outskip
kranity","Simic Midrange
Boros Dragons",outskip won 2-1-0
Round 1,75,"Dominic Harvey He/Him
Zykles","Izzet Lessons
Jeskai Control",Dominic Harvey won 2-1-0
Round 1,76,"Lena Stone She/Her
Dustyn Nogueira He/Him","Dimir Midrange
Dimir Demons",Dustyn Nogueira won 2-0-0
Round 1,77,"Matthew Stefans
angelo_g","Mono-Green Landfall
Jeskai",Matthew Stefans won 2-0-0
Round 1,78,"Noel Robin He/Him
Wrath8805","Izzet Midrange
Temur Landfall",Noel Robin won 2-0-0
Round 1,79,"William La Hay He/Him
Boston Schatteman He/Him","Jeskai Control
Izzet Prowess",Boston Schatteman won 2-0-0
Round 1,80,"Peter Handy He/Him
Gavin Bennett He/Him","Izzet Lessons
W-U-B-R Control",Gavin Bennett won 2-0-0
Round 1,81,"GrizzlyNate He/Him
Tate Smith He/They","Izzet Prowess
Dimir Midrange",Tate Smith won 2-0-0
Round 1,82,"Alex Aitken He/Him
HectorMoses He/Him","Temur Prowess
Mono-Red Aggro",Alex Aitken won 2-1-0
Round 1,83,"Winnie Bowser She/Her
Chris Donetz","Simic Ouroboroid
Mono-Red Aggro",Winnie Bowser won 2-1-0
Round 1,84,"Davey Noble He/Him
Larry Li","Izzet Spellementals
Mono-Green Landfall",Davey Noble won 2-0-0
Round 1,85,"Luca Cherpillod
WhatTheHeck","Sultai Reanimator
Sultai Reanimator",Luca Cherpillod won 2-1-0
Round 1,86,"Tyler Simon
Sean Hunter He/Him","Izzet Prowess
Dimir Midrange",Tyler Simon won 2-1-0
Round 1,87,"psdelver
Willam He/Him","Dimir Midrange
Mono-Green Landfall",Willam won 2-0-0
Round 1,88,"BrandonDrake He/Him
MicO3","Izzet Prowess
Izzet Elementals",MicO3 won 2-1-0
Round 1,89,"Tom Cairns
ryan putigna He/Him","W-U-R-G Control
Dimir Midrange",Tom Cairns won 2-0-0
Round 1,90,"Edgar Magalhaes
Xiao Yu (Roy) Yang He/Him","Dimir Control
Dimir Midrange",Edgar Magalhaes won 2-0-0
Round 1,91,"James Lloyd
Kody Lyons He/Him","Izzet Spellementals
Temur Prowess",James Lloyd won 2-0-0
Round 1,92,"Marcus King He/Him
Graham Gibb He/Him","Golgari Combo
Dimir Midrange",Marcus King won 2-0-0
Round 1,93,"Ryan Primdahl He/Him
Jonathon Miller","Izzet Prowess
Jeskai Control",Ryan Primdahl won 2-0-0
Round 1,94,"Steven Fiebelkorn He/Him
Liam Hoban He/Him","Izzet Prowess
Dimir Control",Steven Fiebelkorn won 2-0-0
Round 1,95,"Matthew Baros-Steyl He/Him
JJazokas","Izzet Prowess
Jeskai Control",JJazokas won 2-1-0
Round 1,96,"Nam Dang
Mazianos","Izzet Lessons
Dimir Demons",Nam Dang won 2-0-0
Round 1,97,"Peebnut
Mel Woods They/Them","Boros Dragons
W-U-B-R-G Allies",Mel Woods won 2-1-0
Round 1,98,"JamesLaing He/Him
ShandroMcassey","Sultai Reanimator
Dimir Midrange",ShandroMcassey won 2-0-0
Round 1,99,"KylC28
Zoza","Simic Rhythm
Mono-Green Landfall",Zoza won 2-1-0
Round 1,100,"Jack Potter He/Him
Roberto Cibrian Stockbridge He/Him","Simic Ouroboroid
Izzet Spellementals",Jack Potter won 2-1-0
Round 1,101,"Andrea Smith She/Her
Luna Lawrence She/They","Mono-Green Landfall
Jeskai Control",Andrea Smith won 2-0-0
Round 1,102,"Olive Reed She/Her
David Booker He/Him","Dimir Midrange
Sultai Elementals",Olive Reed won 2-0-0
Round 1,103,"Burke Horst He/Him
Zachary Leach He/Him","Mono-Green Landfall
Gruul",Burke Horst won 2-0-0
Round 1,104,"Phillip Hurst He/Him
Georges Turcotte He/Him","Dimir Demons
Dimir Reanimator",Phillip Hurst won 2-0-0
Round 1,105,"Brian Ly
dagbaker He/Him","Sultai Reanimator
Azorius Tempo",Brian Ly won 2-0-0
Round 1,106,"Randall Litman
Conor Hickey He/Him","Izzet Spellementals
Mono-Red Aggro",Randall Litman won 2-0-0
Round 1,107,"KelS3
Daniel Lee","Sultai Reanimator
Azorius Control",Daniel Lee won 2-0-0
Round 1,108,"BraB85
Drew Weber","5C Rhythm
Azorius Tempo",Drew Weber won 2-0-0
Round 1,109,"Tyler White
Rae Aurelia She/Her","W-U-B-R Control
Golgari Ouroboroid",Tyler White won 2-1-0
Round 1,110,"maxorag
Gareth Antle They/Them","Mono-Black Midrange
W-U-B-R Midrange",Gareth Antle won 2-0-0
Round 1,111,"BestSmurgNA
Brian Bonnell He/Him","Dimir Demons
Izzet Elementals",Brian Bonnell won 2-0-0
Round 1,112,"Alyssa Oatridge She/Her
Sarah England She/Her","Boros Dragons
Mono-Red Aggo",Alyssa Oatridge won 2-0-0
Round 1,113,"BorosBen
quinn pollock She/Her","Boros Dragons
W-U-B-R Midrange",quinn pollock won 2-0-0
Round 1,114,"DunM4
Mathew Stein He/Him","Jeskai Control
Izzet Lessons",Mathew Stein won 2-1-0
Round 1,115,"Draven Jolicoeur He/Him
kirbymacatangay He/Him","Sultai Reanimator
Azorius Tempo",Draven Jolicoeur won 2-1-0
Round 1,116,"Dennis Liu He/Him
Nick Newburg","Izzet Lessons
Dimir Demons",Nick Newburg won 2-0-0
Round 1,117,"Sebastian Clancy He/Him
Carson Ziegler He/Him","Rakdos Monument
Izzet Lessons",Carson Ziegler won 2-1-0
Round 1,118,"Chris Stevens
Synaru","Azorius Tempo
Mono-Green Landfall",Synaru won 2-1-0
Round 1,119,"Jericho Aguilar
NicH He/Him","Esper Reanimator
Jeskai Control",NicH won 2-0-0
Round 2,1,"Drew Weber
Jameslam He/Him","Azorius Tempo
Izzet Prowess",Jameslam won 2-0-0
Round 2,2,"Joel Repta
Kody Fanara He/Him","Izzet Lessons
Izzet Spellementals",Kody Fanara won 2-0-0
Round 2,3,"Matthew Beattie He/Him
Marcus King He/Him","Simic Rhythm
Golgari Combo",Matthew Beattie won 2-1-0
Round 2,4,"Dustyn Nogueira He/Him
Tobias Roos","Dimir Demons
Mono-Green Landfall",Dustyn Nogueira won 2-0-0
Round 2,5,"Daniel Lee
Ian Hancock He/Him","Azorius Control
Rakdos Aggro",Daniel Lee won 2-0-0
Round 2,6,"PhilipLi
Mathew Stein He/Him","Dimir Bounce
Izzet Lessons",Mathew Stein won 2-0-0
Round 2,7,"JosR17 He/Him
Ken Darlington He/Him","Izzet Lessons
Dimir Midrange",Ken Darlington won 2-0-0
Round 2,8,"John Vanderby
Alexandre Furstenberger He/Him","Izzet Lessons
Bant Rhythm",Alexandre Furstenberger won 2-1-0
Round 2,9,"Tyler White
Alyssa Oatridge She/Her","W-U-B-R Control
Boros Dragons",Alyssa Oatridge won 2-1-0
