Round,Table,Players,Decks,Winner
Round 1,-,Carlos Torrico He/Him,Dimir Tempo,Carlos Torrico was assigned a bye
Round 1,1,"Victor Santos Esquici
Daniel Fernandez [TeamDominus] They/Them","Dimir Combo
Izzet Blink",Victor Santos Esquici won 2-0-0
Round 1,2,"EduCarSan
Felipe Schnyder","Jeskai
Simic Aggro",EduCarSan won 2-1-0
Round 1,3,"Borreguinhas He/Him
Leonardo Lambiasi He/Him","Mono-Green Landfall
Temur Combo",Borreguinhas won 2-0-0
Round 1,4,"JMoreirasn He/Him
Thiago Odasaki","Izzet Tempo
Temur",JMoreirasn won 2-0-0
Round 1,5,"Ismael Lessa He/Him
Pedro Gonzalez He/Him","Dimir Tempo
Azorius Control",Ismael Lessa won 2-0-0
Round 1,6,"Luis Montaña He/Him
GuillermoLoli","Dimir Midrange
Mono-Green Landfall",GuillermoLoli won 2-1-0
Round 1,7,"Bruno Volpato
guiadissy","Gruul Aggro
Temur",guiadissy won 2-0-0
Round 1,8,"Diego Galaz
Kathalarr","Izzet Lessons
Dimir Midrange",Kathalarr won 2-0-0
Round 1,9,"Lucas Fernandes He/Him
Carlos Medina He/Him","Simic Ouroboroid
Dimir Combo",Lucas Fernandes won 2-1-0
Round 1,10,"Gasser Abdeslam He/Him
Luís Felippe Rossello Lima","Izzet Otters
Izzet Lessons",Luís Felippe Rossello Lima won 2-1-0
Round 1,11,"Diego Almeida He/Him
Pablo Cuello He/Him","Rakdos Monument
Dimir Combo",Diego Almeida won 2-0-0
Round 1,12,"Daniel Moncada Tabares
Gabriel Fehr He/Him","Grixis Reanimator
Dimir Demons",Gabriel Fehr won 2-0-0
Round 1,13,"MARCOSHBF He/Him
oscarlevel152","Mono-Green Landfall
Dimir",oscarlevel152 won 2-1-0
Round 1,14,"RaulS
Lucas Rodriguez","Izzet Combo
Izzet Aggro",Lucas Rodriguez won 2-1-0
Round 1,15,"Isael Feitosa He/Him
Fellipe Emar He/Him","Mono-Green Aggro
Sultai Reanimator",Isael Feitosa won 2-1-0
Round 1,16,"MaximilianKalm
Felipe Machado","Mono-Green Landfall
Izzet Lessons",MaximilianKalm won 2-1-0
Round 1,17,"Catunda
DarioVergara He/Him","Izzet Midrange
W-U-R-G Omniscience",DarioVergara won 2-0-0
Round 1,18,"Jonas Antunes He/Him
TIAGO PINHEIRO","Dimir Combo
Azorius Tempo",Jonas Antunes won 2-0-0
Round 1,19,"Spribnow
Gabriel Castelo Garcia He/Him","Dimir Control
Izzet Lessons",Gabriel Castelo Garcia won 2-1-0
Round 1,20,"lobao
Jayme He/Him","Golgari
Boros Aggro",Jayme won 2-0-0
Round 1,21,"hendrik21
Agnaldo dos Santos Teixeira Junior Gnarr","Dimir Midrange
Dimir Control",1-1-0 Draw
Round 1,22,"Lauro Olsen He/Him
Camilo Niño","Dimir Control
Dimir Tempo",Camilo Niño won 2-1-0
Round 1,23,"Francisco ignacio andres Vargas ortiz He/Him
Jimmyto Lara He/They","Izzet Monument
Dimir Midrange",Jimmyto Lara won 2-0-0
Round 1,24,"Guilherme Guedes He/Him
Mateus de Carvalho He/Him","Sultai Reanimator
Jeskai Control",Guilherme Guedes won 2-0-0
Round 1,25,"Luis Navas Flores He/Him
Nicolas Morales Macaya He/Him","Mono-Red Aggro
Gruul Landfall",Luis Navas Flores won 2-1-0
Round 1,26,"NicoDays She/They
🙉 Caio Errerias He/Him","Izzet Aggro
Jeskai Control",🙉 Caio Errerias won 2-1-0
Round 1,27,"Andre Hassan
magic_zaraka He/Him","Grixis Demons
Gruul Landfall",magic_zaraka won 2-1-0
Round 1,28,"Andrés Camargo
zerokangs He/Him","Gruul Landfall
Sultai Midrange",Andrés Camargo won 2-0-0
Round 1,29,"CamiloRojas
João Jorge Sales Junior","Dimir Tempo
Dimir Control",João Jorge Sales Junior won 2-0-0
Round 1,30,"Bastian Muñoz Pizarro He/Him
Rudá dos Reis He/Him","Azorius Control
Izzet Lessons",Rudá dos Reis won 2-0-0
Round 1,31,"Prezin He/Him
Mauricio Iriarte Valenzuela","Dimir Control
Dimir Midrange",1-1-0 Draw
Round 1,32,"aloaiza23
Mariano de Gregorio He/Him","Jund Aggro
Dimir Midrange",aloaiza23 won 2-0-0
Round 1,33,"Xecuter He/Him
Sebastian Cantor","Temur Omniscience
Mono-Red Aggro",Xecuter won 2-1-0
Round 1,34,"Emanuel Sutter He/Him
Pedro Paulo Albuquerque Caraciolo He/They","Azorius
Dimir Demons",Emanuel Sutter won 2-0-0
Round 1,35,"Francisco Bertomeu
kbsAA","Izzet
Jeskai Control",kbsAA won 2-0-0
Round 1,36,"Charlesz
Andyu He/Him","Izzet Lessons
Dimir Midrange",Charlesz won 2-0-0
Round 1,37,"Juan Cruz Rodriguez Berjolis He/Him
Viniimato He/Him","Dimir Midrange
Jeskai Artifacts",Juan Cruz Rodriguez Berjolis won 2-0-0
Round 1,38,"RodolfoZuinConstantino He/Him
Redxfire He/Him","Bant Combo
Dimir Tempo",RodolfoZuinConstantino won 2-0-0
Round 1,39,"tony15974
gabrielstone","Izzet Midrange
Simic Ouroboroid",gabrielstone won 2-0-0
Round 1,40,"hachenova
Mircho","Izzet Midrange
Golgari Midrange",hachenova won 2-1-0
Round 1,41,"Guilherme Vinicius Fragoso De Souza Guivini06 He/Him
FelipePola","Izzet Tempo
Mono-Red Aggro",Guilherme Vinicius Fragoso De Souza Guivini06 won 2-1-0
Round 1,42,"Arthur Alves da Silva He/Him
Diego Eneas Garcia He/Him","Dimir Midrange
Bant Airbending",Diego Eneas Garcia won 2-0-0
