Round,Table,Players,Decks,Winner
Round 1,-,Carlo Alan Chávez García He/Him,Jeskai Control,Carlo Alan Chávez García was awarded a bye
Round 1,-,Limit He/Him,Izzet,Limit forfeited the match
Round 1,1,"DanieerGalvez He/Him
AAmaya","Azorius Tempo
Abzan",DanieerGalvez won 2-0-0
Round 1,2,"xmkaj
Vi_Rap He/Him","Izzet Lessons
Azorius Flash",Vi_Rap won 2-0-0
Round 1,3,"RicP7 He/Him
Sebastian Senshi Quintana","Jeskai Control
Simic Rhythm",RicP7 won 2-1-0
Round 1,4,"DrBrand He/Him
Julio Cesar Soto He/Him","Boros Dragons
Dimir Midrange",Julio Cesar Soto won 2-0-0
Round 1,5,"vbostereo He/Him
Ivan Oro He/Him","Bant Combo
Temur Aggro",vbostereo won 2-0-0
Round 1,6,"Edgar Emmanuel Rangel Páez He/Him
JoseCed","Dimir Excruciator
Izzet Lessons",Edgar Emmanuel Rangel Páez won 2-0-0
Round 1,7,"MTijerina97 He/Him
Eduardo Castillo He/Him","Jeskai Control
Mono-Green Landfall",1-1-0 Draw
Round 1,8,"Luis Mondragón
Jahmm1024 He/Him","Rakdos Monument
Temur Prowess",Luis Mondragón won 2-1-0
Round 1,9,"IsaiasCantu
VictorCastillo He/Him","Azorius Tempo
U-B-R-G Reanimator",VictorCastillo won 2-1-0
Round 1,10,"Pablopga He/Him
Pablo Duque He/Him","Esper Midrange
Dimir Excruciator",Pablo Duque won 2-0-0
Round 1,11,"Mario Alejandro Flores Silva He/Him
Juan Carlos Servin Gomez He/Him","Dimir Tempo
Izzet Elementals",Mario Alejandro Flores Silva won 2-0-0
Round 1,12,"GermanBA He/Him
Frade He/Him","Temur Prowess
Azorius Tempo",GermanBA won 2-0-0
Round 1,13,"Jojo-Torres
franck7 He/Him","Bant Airbending
Selesnya Landfall",Jojo-Torres won 2-0-0
Round 1,14,"Marlon Jacob Avila Gutierrez He/Him
Gamma1001","Dimir Midrange
Dimir Midrange",Gamma1001 won 2-0-0
Round 1,15,"Charliezard21
angfe He/Him","Temur
Izzet Lessons",Charliezard21 won 2-0-0
Round 1,16,"Pedro Bermudez
Cesar Alvarez He/Him","Mono-Green Landfall
Izzet Lessons",Pedro Bermudez won 2-1-0
