Round,Table,Players,Decks,Winner
Round 1,17,"ELLIN He/Him
Bruno Ramírez de Arellano García He/Him","Izzet Spellementals
Gruul Delirium",ELLIN won 2-1-0
Round 1,18,"Carlos Martinez He/Him
Alexis García He/Him","Dimir Midrange
Temur Prowess",Carlos Martinez won 2-1-0
Round 1,19,"MarcoDanielR RodriguezPerez He/Him
Isabel She/Her","Dimir Tempo
Jeskai Control",Isabel won 2-0-0
Round 1,20,"jnsrjzgo He/Him
Thressen They/Them","Simic Ouroboroid
Mono-Green Landfall",jnsrjzgo won 2-1-0
Round 1,21,"Tlacaelel Jimenez They/Them
Burger He/Him","Grixis
Temur Midrange",Burger won 2-1-0
Round 1,22,"Ivan Cortes
ErickPat","Izzet Spellementals
Dimir Tempo",ErickPat won 2-0-0
Round 1,23,"Soulgreen He/Him
Hermilo Flores Davila He/Him","Simic Ouroboroid
Temur Aggro",Hermilo Flores Davila won 2-1-0
Round 1,24,"Alberto BoLivar
RODRIGO SAN JUAN He/Him","Dimir Airbending
Dimir Combo",Alberto BoLivar won 2-0-0
Round 1,25,"Alejos12 He/Him
aaoft","Dimir Flash
Dimir Combo",Alejos12 won 2-1-0
Round 1,26,"FernandoGosch
Dikson Avila Rojas","Temur Prowess
Mono-White",Dikson Avila Rojas won 2-1-0
Round 1,27,"Marcelo Cruz
toxic0 He/Him","Mono-Green Harmonizer
Dimir Control",Marcelo Cruz won 2-1-0
Round 1,28,"Arkstok
Allan Ayapan","Mono-Black Demons
Mono-Green Aggro",Allan Ayapan won 2-0-0
Round 1,29,"Rodolfo Juarez
MarC101","Dimir Control
Rakdos Monument",Rodolfo Juarez won 2-1-0
Round 1,30,"Gurgehmorat
Marcelino Freeman Other","Gruul Delirium
Boros Midrange",Marcelino Freeman won 2-0-0
Round 1,31,"EddyMares He/Him
Romeo Aaron Cameras Lievano He/Him","Bant Combo
Temur Aggro",Romeo Aaron Cameras Lievano won 2-0-0
Round 1,32,"Downpour
Ericksson Moran He/Him","Dimir Control
Boros Aggro",Ericksson Moran won 2-0-0
Round 1,33,"Master_Fer He/Him
Rod3","Mono-Green Combo
Simic Ouroboroid",Rod3 won 2-1-0
Round 1,34,"Jairo04
Rolando Mendez Aguilar He/Him","Azorius Control
Dimir Excruciator",Rolando Mendez Aguilar won 2-1-0
Round 1,35,"Luis Chavez
Vicro He/Him","W-U-B-R Control
Mono-Green Landfall",Vicro won 2-0-0
Round 1,36,"hcdxr
RafaelMan He/Him","Dimir Excruciator
U-B-R-G Elementals",hcdxr won 2-1-0
Round 1,37,"Alejandro Pereira He/Him
Alexander Rosales He/Him","Temur Combo
Simic Rhythm",Alejandro Pereira won 2-1-0
Round 1,38,"DaiH He/Him
Newbiemx He/Him","Temur Prowess
Mono-Green Dragons",DaiH won 2-1-0
Round 1,39,"Juanmi Sierra
Archibal Raziel Sánchez Peralta He/Him","Izzet Midrange
Mono-Green Control",Archibal Raziel Sánchez Peralta won 2-0-0
Round 1,40,"Javier Castellan He/Him
victor perez He/Him","Bant Airbending
Mono-Red Aggro",Javier Castellan won 2-0-0
Round 1,41,"MiguelValdez
Smedina He/Him","Dimir Midrange
Temur Aggro",Smedina won 2-0-0
Round 1,42,"Paul Villalobos
ISACC1K2","Azorius Tempo
Mono-Green Landfall",Paul Villalobos won 2-0-0
Round 1,43,"Aram Madriz A He/Him
RicardoV","Azorius Aggro
Gruul Ouroboroid",Aram Madriz A won 2-0-0
Round 1,44,"The_Palolo He/Him
fernandojjo He/Him","Dimir
Temur Tempo",fernandojjo won 2-1-0
Round 1,45,"Dalibor Trnka He/Him
alex_santos He/Him","Izzet Lessons
Dimir Midrange",alex_santos won 2-1-0
Round 1,46,"Brian Lopez He/They
BERNABE PEREZ POPOCATL He/Him","Bant Combo
Dimir Midrange",Brian Lopez won 2-1-0
Round 1,47,"Jeff2998 He/Him
Julio Rivera He/Him","Izzet Elementals
Dimir Tempo",Julio Rivera won 2-1-0
Round 1,48,"mtgborre
Osmalocu He/Him","Gruul Harmonizer
Mono-Green Aggro",Osmalocu won 2-0-0
Round 1,49,"Daniel Garcia He/Him
Julio Potes He/Him","Dimir Excruciator
Izzet Lessons",Julio Potes won 2-1-0
Round 1,50,"Dannog
reacklml","Izzet Control
Temur Prowess",Dannog won 2-0-0
Round 1,51,"Arleni
AmethMoran","Azorius Tempo
Temur Prowess",Arleni won 2-0-0
Round 1,52,"PedroM6744 He/Him
JosueMartil456 He/Him","Mono-Green Landfall
Dimir Excruciator",PedroM6744 won 2-1-0
Round 1,53,"ubwly
Luis Felipe Sanchez Cuevas He/Him","Izzet Lessons
Simic Rhythm",ubwly won 2-1-0
Round 1,54,"Cesar Hernandez He/Him
Pablo Mendez He/Him","Temur Prowess
Jeskai Control",Pablo Mendez won 2-1-0
Round 1,55,"Furiax
Paper_Mario He/Him","Bant Airbending
Azorius",Furiax won 2-0-0
Round 1,56,"WilliamEliz He/Him
cesar israel gomez jacome","Mono-Green Harmonizer
Izzet Lessons",cesar israel gomez jacome won 2-0-0
Round 1,57,"yvwpy
1ittleYoshi He/Him","Orzhov Control
Izzet Monument",1ittleYoshi won 2-0-0
Round 1,58,"Daniel Alvarez He/Him
Rainman Sian He/Him","Bant Omniscience
Dimir Midrange",1-1-0 Draw
Round 1,59,"Drecko
SebastianOlivares He/Him","Simic Aggro
Dimir Control",SebastianOlivares won 2-0-0
Round 1,60,"Enyal2218 He/Him
daniel isaias He/Him","Dimir Midrange
Dimir Tempo",daniel isaias won 2-1-0
Round 1,61,"LiDurden He/Him
kzeoq","Dimir Excruciator
Mono-Green Landfall",LiDurden won 2-0-0
Round 1,62,"Xray
AaronAngeles","Mono-Red Aggro
Temur Aggro",Xray won 2-1-0
Round 1,63,"Jorge Lopez He/Him
vikoalex","Mono-Green Landfall
Jeskai Control",Jorge Lopez won 2-0-0
Round 1,64,"Eltatay
Tyvant They/Them","Temur Otters
Boros Dragons",Tyvant won 2-1-0
Round 1,65,"-Legol4s-
RafZ1 He/Him","Sultai Reanimator
Mono-White Control",1-1-0 Draw
Round 1,66,"yhsxu
Daniel Rodriguez He/Him","Grixis Elementals
Azorius Midrange",1-1-0 Draw
Round 1,67,"Ismaelisassi97 He/Him
Ricardo Landeta He/Him","U-B-R-G Elementals
Mono-Green Landfall",Ricardo Landeta won 2-1-0
Round 1,68,"cfbba
Phantasmos","Izzet Control
Mono-Green Aggro",cfbba won 2-1-0
Round 1,69,"DannLemmon He/Him
LuisAlex","Izzet Spellementals
Esper Tempo",LuisAlex won 2-0-0
Round 1,70,"Angel Geovanni Briones Medina He/Him
Ivan Saenz He/Him","Dimir Reanimator
Mono-Green",Ivan Saenz won 2-0-0
Round 1,71,"RafaelPerez He/Him
ANTONIO GUZMAN VAZQUEZ He/Him","Dimir Aggro
Mono-Green",ANTONIO GUZMAN VAZQUEZ won 2-1-0
Round 1,72,"CrimsonRoyal
Toscano","Esper Midrange
Dimir Midrange",Toscano won 2-1-0
Round 1,73,"Alejandro Winkler He/Him
ELWICHOPATO","Izzet Lessons
Esper Control",Alejandro Winkler won 2-0-0
Round 1,74,"GeekRanor
José Eduardo Gordillo Cardona He/Him","Golgari Midrange
Dimir Excruciator",1-1-0 Draw
Round 1,75,"Erick Manuel Lopez Basulto He/Him
Ivan Martinez He/Him","Temur Combo
Simic Ouroboroid",Ivan Martinez won 2-0-0
Round 1,76,"Joaquinrobertosotocastillo He/Him
sxhcz He/Him","Simic Rhythm
Jeskai Artifacts",Joaquinrobertosotocastillo won 2-0-0
Round 1,77,"Dagoberto Silva He/Him
Kevzal He/Him","Izzet Lessons
Izzet",Dagoberto Silva won 2-0-0
Round 1,78,"Raffael11
JorgeSolis He/Him","Orzhov Control
Dimir Midrange",JorgeSolis won 2-1-0
Round 1,79,"Julio Cesar Tadeo Jacinto
Javier Calvo He/Him","Mono-Black Midrange
Azorius Tempo",Javier Calvo won 2-0-0
Round 1,80,"cah He/Him
Javier Legaspi","W-U-R-G Combo
Temur Prowess",cah won 2-1-0
Round 1,81,"Jesús Solano He/Him
VallaNico He/Him","Mono-Green
Temur Prowess",VallaNico won 2-1-0
Round 1,82,"Valeria Aguilar She/Her
rjjwq","Mono-Green Landfall
Jeskai Control",rjjwq won 2-1-0
Round 1,83,"kfbzo
BarbaLaLeyenda","Abzan Bounce
Mono-Green Landfall",BarbaLaLeyenda won 2-0-0
Round 1,84,"Mortis
BerB8 He/Him","U-B-R-G Reanimator
Dimir Midrange",BerB8 won 2-1-0
Round 1,85,"MConchitaFr
Roberto Luna He/Him","Jeskai Control
Jeskai Control",Roberto Luna won 2-0-0
Round 1,87,"qzwdw
ficdu","Temur Prowess
Dimir Midrange",qzwdw won 2-1-0
Round 1,88,"Victor Maya
MarN38","Izzet Lessons
Simic Tempo",MarN38 won 2-0-0
Round 1,89,"VicM27 He/Him
Cristian Ponce","Naya
Simic Rhythm",1-1-0 Draw
Round 1,90,"Vynz He/Him
Tavo110506 He/Him","Dimir
Izzet",Vynz won 2-1-0
Round 2,1,"LiDurden He/Him
1ittleYoshi He/Him","Dimir Excruciator
Izzet Monument",1ittleYoshi won 2-0-0
Round 2,2,"LuisAlex
PedroM6744 He/Him","Esper Tempo
Mono-Green Landfall",PedroM6744 won 2-0-0
Round 2,3,"Tyvant They/Them
Paul Villalobos","Boros Dragons
Azorius Tempo",Paul Villalobos won 2-1-0
Round 2,4,"Rod3
Alberto BoLivar","Simic Ouroboroid
Dimir Airbending",Rod3 won 2-1-0
Round 2,5,"Charliezard21
Vi_Rap He/Him","Temur
Azorius Flash",Vi_Rap won 2-1-0
Round 2,6,"Burger He/Him
Alejandro Winkler He/Him","Temur Midrange
Izzet Lessons",Burger won 2-1-0
Round 2,7,"cfbba
Joaquinrobertosotocastillo He/Him","Izzet Control
Simic Rhythm",Joaquinrobertosotocastillo won 2-0-0
Round 2,8,"Romeo Aaron Cameras Lievano He/Him
Pedro Bermudez","Temur Aggro
Mono-Green Landfall",Romeo Aaron Cameras Lievano won 2-1-0
Round 2,9,"Marcelino Freeman Other
daniel isaias He/Him","Boros Midrange
Dimir Tempo",Marcelino Freeman won 2-0-0
Round 2,10,"Toscano
Mario Alejandro Flores Silva He/Him","Dimir Midrange
Dimir Tempo",Mario Alejandro Flores Silva won 2-1-0
Round 2,11,"Pablo Duque He/Him
Alejos12 He/Him","Dimir Excruciator
Dimir Flash",Pablo Duque won 2-0-0
Round 2,12,"Ricardo Landeta He/Him
Jojo-Torres","Mono-Green Landfall
Bant Airbending",Jojo-Torres won 2-0-0
Round 2,13,"Jorge Lopez He/Him
ErickPat","Mono-Green Landfall
Dimir Tempo",Jorge Lopez won 2-1-0
Round 2,14,"Roberto Luna He/Him
Dannog","Jeskai Control
Izzet Control",Roberto Luna won 2-0-0
Round 2,15,"DaiH He/Him
Vynz He/Him","Temur Prowess
Dimir",Vynz won 2-1-0
Round 2,16,"rjjwq
Hermilo Flores Davila He/Him","Jeskai Control
Temur Aggro",Hermilo Flores Davila won 2-1-0
Round 2,17,"Javier Castellan He/Him
Vicro He/Him","Bant Airbending
Mono-Green Landfall",Vicro won 2-1-0
Round 2,18,"Furiax
Archibal Raziel Sánchez Peralta He/Him","Bant Airbending
Mono-Green Control",Furiax won 2-1-0
Round 2,19,"Isabel She/Her
Rodolfo Juarez","Jeskai Control
Dimir Control",Isabel won 2-1-0
Round 2,20,"Dikson Avila Rojas
Brian Lopez He/They","Mono-White
Bant Combo",Brian Lopez won 2-1-0
Round 2,21,"ELLIN He/Him
Smedina He/Him","Izzet Spellementals
Temur Aggro",Smedina won 2-1-0
Round 2,22,"Carlos Martinez He/Him
Pablo Mendez He/Him","Dimir Midrange
Jeskai Control",Carlos Martinez won 2-1-0
Round 2,23,"Ivan Martinez He/Him
ubwly","Simic Ouroboroid
Izzet Lessons",Ivan Martinez won 2-0-0
Round 2,24,"Rolando Mendez Aguilar He/Him
JorgeSolis He/Him","Dimir Excruciator
Dimir Midrange",1-1-0 Draw
Round 2,25,"Osmalocu He/Him
Edgar Emmanuel Rangel Páez He/Him","Mono-Green Aggro
Dimir Excruciator",Edgar Emmanuel Rangel Páez won 2-0-0
Round 2,26,"Aram Madriz A He/Him
alex_santos He/Him","Azorius Aggro
Dimir Midrange",alex_santos won 2-1-0
Round 2,27,"VictorCastillo He/Him
qzwdw","U-B-R-G Reanimator
Temur Prowess",VictorCastillo won 2-0-0
Round 2,28,"Ericksson Moran He/Him
BerB8 He/Him","Boros Aggro
Dimir Midrange",Ericksson Moran won 2-0-0
Round 2,29,"cah He/Him
GermanBA He/Him","W-U-R-G Combo
Temur Prowess",GermanBA won 2-0-0
Round 2,30,"Carlo Alan Chávez García He/Him
cesar israel gomez jacome","Jeskai Control
Izzet Lessons",Carlo Alan Chávez García won 2-0-0
Round 2,31,"DanieerGalvez He/Him
Julio Potes He/Him","Azorius Tempo
Izzet Lessons",Julio Potes won 2-0-0
Round 2,32,"Allan Ayapan
Arleni","Mono-Green Aggro
Azorius Tempo",Allan Ayapan won 2-0-0
Round 2,33,"Julio Rivera He/Him
SebastianOlivares He/Him","Dimir Tempo
Dimir Control",Julio Rivera won 2-0-0
Round 2,34,"fernandojjo He/Him
Javier Calvo He/Him","Temur Tempo
Azorius Tempo",fernandojjo won 2-0-0
Round 2,35,"vbostereo He/Him
Julio Cesar Soto He/Him","Bant Combo
Dimir Midrange",vbostereo won 2-0-0
Round 2,36,"MarN38
Marcelo Cruz","Simic Tempo
Mono-Green Harmonizer",MarN38 won 2-1-0
Round 2,37,"RicP7 He/Him
Dagoberto Silva He/Him","Jeskai Control
Izzet Lessons",Dagoberto Silva won 2-1-0
Round 2,38,"jnsrjzgo He/Him
Alejandro Pereira He/Him","Simic Ouroboroid
Temur Combo",Alejandro Pereira won 2-0-0
Round 2,39,"Gamma1001
hcdxr","Dimir Midrange
Dimir Excruciator",Gamma1001 won 2-0-0
Round 2,40,"BarbaLaLeyenda
Luis Mondragón","Mono-Green Landfall
Rakdos Monument",BarbaLaLeyenda won 2-1-0
Round 2,41,"Ivan Saenz He/Him
ANTONIO GUZMAN VAZQUEZ He/Him","Mono-Green
Mono-Green",Ivan Saenz won 2-1-0
Round 2,42,"VallaNico He/Him
Xray","Temur Prowess
Mono-Red Aggro",Xray won 2-1-0
Round 2,43,"yhsxu
Cristian Ponce","Grixis Elementals
Simic Rhythm",yhsxu won 2-0-0
Round 2,44,"VicM27 He/Him
MTijerina97 He/Him","Naya
Jeskai Control",MTijerina97 won 2-0-0
Round 2,45,"-Legol4s-
Rainman Sian He/Him","Sultai Reanimator
Dimir Midrange",Rainman Sian won 2-0-0
Round 2,46,"Eduardo Castillo He/Him
GeekRanor","Mono-Green Landfall
Golgari Midrange",Eduardo Castillo won 2-1-0
Round 2,47,"Daniel Rodriguez He/Him
Daniel Alvarez He/Him","Azorius Midrange
Bant Omniscience",Daniel Alvarez won 2-1-0
Round 2,48,"RafZ1 He/Him
José Eduardo Gordillo Cardona He/Him","Mono-White Control
Dimir Excruciator",José Eduardo Gordillo Cardona won 2-0-0
Round 2,49,"ISACC1K2
MiguelValdez","Mono-Green Landfall
Dimir Midrange",ISACC1K2 won 2-0-0
Round 2,50,"AaronAngeles
JosueMartil456 He/Him","Temur Aggro
Dimir Excruciator",JosueMartil456 won 2-1-0
Round 2,51,"Alexander Rosales He/Him
Drecko","Simic Rhythm
Simic Aggro",Drecko won 2-1-0
Round 2,52,"FernandoGosch
RafaelMan He/Him","Temur Prowess
U-B-R-G Elementals",FernandoGosch won 2-1-0
Round 2,53,"Tlacaelel Jimenez They/Them
JoseCed","Grixis
Izzet Lessons",Tlacaelel Jimenez won 2-1-0
Round 2,54,"DrBrand He/Him
Jahmm1024 He/Him","Boros Dragons
Temur Prowess",Jahmm1024 won 2-0-0
Round 2,55,"Mortis
Julio Cesar Tadeo Jacinto","U-B-R-G Reanimator
Mono-Black Midrange",Julio Cesar Tadeo Jacinto won 2-0-0
Round 2,56,"Arkstok
Limit He/Him","Mono-Black Demons
Izzet",Limit won 2-1-0
Round 2,57,"MarcoDanielR RodriguezPerez He/Him
Sebastian Senshi Quintana","Dimir Tempo
Simic Rhythm",MarcoDanielR RodriguezPerez won 2-0-0
Round 2,58,"ficdu
Ivan Cortes","Dimir Midrange
Izzet Spellementals",ficdu won 2-0-0
Round 2,59,"Eltatay
AAmaya","Temur Otters
Abzan",Eltatay won 2-1-0
Round 2,60,"Javier Legaspi
Luis Felipe Sanchez Cuevas He/Him","Temur Prowess
Simic Rhythm",Luis Felipe Sanchez Cuevas won 2-1-0
Round 2,61,"Juanmi Sierra
RODRIGO SAN JUAN He/Him","Izzet Midrange
Dimir Combo",Juanmi Sierra won 2-0-0
Round 2,62,"Juan Carlos Servin Gomez He/Him
Gurgehmorat","Izzet Elementals
Gruul Delirium",Juan Carlos Servin Gomez won 2-0-0
Round 2,63,"kfbzo
Alexis García He/Him","Abzan Bounce
Temur Prowess",kfbzo won 2-0-0
Round 2,64,"Ivan Oro He/Him
Downpour","Temur Aggro
Dimir Control",Ivan Oro won 2-1-0
Round 2,65,"toxic0 He/Him
CrimsonRoyal","Dimir Control
Esper Midrange",CrimsonRoyal won 2-1-0
Round 2,66,"Tavo110506 He/Him
AmethMoran","Izzet
Temur Prowess",AmethMoran won 2-0-0
Round 2,67,"aaoft
The_Palolo He/Him","Dimir Combo
Dimir",The_Palolo won 2-1-0
Round 2,68,"MarC101
Ismaelisassi97 He/Him","Rakdos Monument
U-B-R-G Elementals",MarC101 won 2-1-0
Round 2,69,"vikoalex
RicardoV","Jeskai Control
Gruul Ouroboroid",RicardoV won 2-0-0
Round 2,70,"Pablopga He/Him
Cesar Hernandez He/Him","Esper Midrange
Temur Prowess",Pablopga won 2-0-0
Round 2,71,"Marlon Jacob Avila Gutierrez He/Him
victor perez He/Him","Dimir Midrange
Mono-Red Aggro",0-0-3 Draw
Round 2,72,"Newbiemx He/Him
DannLemmon He/Him","Mono-Green Dragons
Izzet Spellementals",Newbiemx won 2-1-0
Round 2,73,"RafaelPerez He/Him
Master_Fer He/Him","Dimir Aggro
Mono-Green Combo",Master_Fer won 2-0-0
Round 2,74,"Cesar Alvarez He/Him
mtgborre","Izzet Lessons
Gruul Harmonizer",Cesar Alvarez won 2-1-0
Round 2,75,"Jairo04
xmkaj","Azorius Control
Izzet Lessons",1-1-0 Draw
Round 2,76,"Frade He/Him
Jesús Solano He/Him","Azorius Tempo
Mono-Green",Jesús Solano won 2-0-0
Round 2,77,"sxhcz He/Him
Thressen They/Them","Jeskai Artifacts
Mono-Green Landfall",Thressen won 2-1-0
Round 2,78,"Valeria Aguilar She/Her
Phantasmos","Mono-Green Landfall
Mono-Green Aggro",Valeria Aguilar won 2-0-0
Round 2,79,"Bruno Ramírez de Arellano García He/Him
Soulgreen He/Him","Gruul Delirium
Simic Ouroboroid",Soulgreen won 2-1-0
Round 2,80,"reacklml
Victor Maya","Temur Prowess
Izzet Lessons",reacklml won 2-0-0
Round 2,81,"Enyal2218 He/Him
Erick Manuel Lopez Basulto He/Him","Dimir Midrange
Temur Combo",Erick Manuel Lopez Basulto won 2-0-0
Round 2,82,"WilliamEliz He/Him
EddyMares He/Him","Mono-Green Harmonizer
Bant Combo",EddyMares won 2-0-0
Round 2,83,"Dalibor Trnka He/Him
Daniel Garcia He/Him","Izzet Lessons
Dimir Excruciator",Daniel Garcia won 2-1-0
Round 2,84,"Paper_Mario He/Him
BERNABE PEREZ POPOCATL He/Him","Azorius
Dimir Midrange",BERNABE PEREZ POPOCATL won 2-0-0
Round 2,85,"angfe He/Him
Raffael11","Izzet Lessons
Orzhov Control",Raffael11 won 2-1-0
Round 2,86,"Kevzal He/Him
kzeoq","Izzet
Mono-Green Landfall",Kevzal won 2-1-0
Round 2,87,"ELWICHOPATO
Angel Geovanni Briones Medina He/Him","Esper Control
Dimir Reanimator",Angel Geovanni Briones Medina won 2-0-0
Round 2,88,"franck7 He/Him
IsaiasCantu","Selesnya Landfall
Azorius Tempo",IsaiasCantu won 2-0-0
Round 2,89,"MConchitaFr
Jeff2998 He/Him","Jeskai Control
Izzet Elementals",1-1-1 Draw
Round 3,1,"VictorCastillo He/Him
Jorge Lopez He/Him","U-B-R-G Reanimator
Mono-Green Landfall",Jorge Lopez won 2-1-0
Round 3,2,"BarbaLaLeyenda
Rod3","Mono-Green Landfall
Simic Ouroboroid",Rod3 won 2-1-0
Round 3,3,"vbostereo He/Him
fernandojjo He/Him","Bant Combo
Temur Tempo",vbostereo won 2-1-0
Round 3,4,"Mario Alejandro Flores Silva He/Him
Vicro He/Him","Dimir Tempo
Mono-Green Landfall",Mario Alejandro Flores Silva won 2-0-0
Round 3,5,"Ivan Saenz He/Him
Gamma1001","Mono-Green
Dimir Midrange",Ivan Saenz won 2-0-0
Round 3,6,"Marcelino Freeman Other
1ittleYoshi He/Him","Boros Midrange
Izzet Monument",1ittleYoshi won 2-0-0
Round 3,7,"PedroM6744 He/Him
Smedina He/Him","Mono-Green Landfall
Temur Aggro",Smedina won 2-1-0
Round 3,8,"Julio Potes He/Him
Brian Lopez He/They","Izzet Lessons
Bant Combo",Julio Potes won 2-1-0
Round 3,9,"Carlo Alan Chávez García He/Him
MarN38","Jeskai Control
Simic Tempo",Carlo Alan Chávez García won 2-1-0
Round 3,10,"Alejandro Pereira He/Him
Burger He/Him","Temur Combo
Temur Midrange",Alejandro Pereira won 2-1-0
Round 3,11,"Vi_Rap He/Him
Ivan Martinez He/Him","Azorius Flash
Simic Ouroboroid",Ivan Martinez won 2-1-0
Round 3,12,"GermanBA He/Him
Dagoberto Silva He/Him","Temur Prowess
Izzet Lessons",GermanBA won 2-1-0
Round 3,13,"Carlos Martinez He/Him
Roberto Luna He/Him","Dimir Midrange
Jeskai Control",Carlos Martinez won 2-0-0
Round 3,14,"Isabel She/Her
Jojo-Torres","Jeskai Control
Bant Airbending",Isabel won 2-0-0
Round 3,15,"Paul Villalobos
alex_santos He/Him","Azorius Tempo
Dimir Midrange",Paul Villalobos won 2-1-0
Round 3,16,"Pablo Duque He/Him
Ericksson Moran He/Him","Dimir Excruciator
Boros Aggro",Ericksson Moran won 2-1-0
Round 3,17,"Hermilo Flores Davila He/Him
Joaquinrobertosotocastillo He/Him","Temur Aggro
Simic Rhythm",Hermilo Flores Davila won 2-1-0
Round 3,18,"Romeo Aaron Cameras Lievano He/Him
Xray","Temur Aggro
Mono-Red Aggro",Romeo Aaron Cameras Lievano won 2-0-0
Round 3,19,"Furiax
Julio Rivera He/Him","Bant Airbending
Dimir Tempo",Furiax won 2-0-0
Round 3,20,"Vynz He/Him
Edgar Emmanuel Rangel Páez He/Him","Dimir
Dimir Excruciator",Edgar Emmanuel Rangel Páez won 2-0-0
Round 3,21,"Allan Ayapan
Daniel Alvarez He/Him","Mono-Green Aggro
Bant Omniscience",Allan Ayapan won 2-0-0
Round 3,22,"Eduardo Castillo He/Him
yhsxu","Mono-Green Landfall
Grixis Elementals",yhsxu won 2-1-0
Round 3,23,"Rainman Sian He/Him
José Eduardo Gordillo Cardona He/Him","Dimir Midrange
Dimir Excruciator",Rainman Sian won 2-0-0
Round 3,24,"JorgeSolis He/Him
MTijerina97 He/Him","Dimir Midrange
Jeskai Control",JorgeSolis won 2-0-0
Round 3,25,"Rolando Mendez Aguilar He/Him
Tlacaelel Jimenez They/Them","Dimir Excruciator
Grixis",Tlacaelel Jimenez won 2-0-0
Round 3,26,"Ricardo Landeta He/Him
Javier Calvo He/Him","Mono-Green Landfall
Azorius Tempo",Ricardo Landeta won 2-1-0
Round 3,27,"DaiH He/Him
ficdu","Temur Prowess
Dimir Midrange",ficdu won 2-1-0
Round 3,28,"Raffael11
Pedro Bermudez","Orzhov Control
Mono-Green Landfall",Pedro Bermudez won 2-1-0
Round 3,29,"kfbzo
Toscano","Abzan Bounce
Dimir Midrange",Toscano won 2-0-0
Round 3,30,"Drecko
VallaNico He/Him","Simic Aggro
Temur Prowess",Drecko won 2-1-0
Round 3,31,"Dikson Avila Rojas
Dannog","Mono-White
Izzet Control",Dikson Avila Rojas won 2-1-0
Round 3,32,"cesar israel gomez jacome
CrimsonRoyal","Izzet Lessons
Esper Midrange",cesar israel gomez jacome won 2-0-0
Round 3,33,"Cesar Alvarez He/Him
Limit He/Him","Izzet Lessons
Izzet",Limit won 2-0-0
Round 3,34,"daniel isaias He/Him
Valeria Aguilar She/Her","Dimir Tempo
Mono-Green Landfall",Valeria Aguilar won 2-1-0
Round 3,35,"JosueMartil456 He/Him
rjjwq","Dimir Excruciator
Jeskai Control",JosueMartil456 won 2-1-0
Round 3,36,"Julio Cesar Soto He/Him
Alejandro Winkler He/Him","Dimir Midrange
Izzet Lessons",Julio Cesar Soto won 2-0-0
Round 3,37,"Osmalocu He/Him
RicardoV","Mono-Green Aggro
Gruul Ouroboroid",Osmalocu won 2-0-0
Round 3,38,"Erick Manuel Lopez Basulto He/Him
Alejos12 He/Him","Temur Combo
Dimir Flash",Erick Manuel Lopez Basulto won 2-1-0
Round 3,39,"DanieerGalvez He/Him
Master_Fer He/Him","Azorius Tempo
Mono-Green Combo",Master_Fer won 2-1-0
Round 3,40,"Charliezard21
LuisAlex","Temur
Esper Tempo",LuisAlex won 2-0-0
Round 3,41,"Pablopga He/Him
Juanmi Sierra","Esper Midrange
Izzet Midrange",Juanmi Sierra won 2-1-0
Round 3,42,"Juan Carlos Servin Gomez He/Him
Angel Geovanni Briones Medina He/Him","Izzet Elementals
Dimir Reanimator",Juan Carlos Servin Gomez won 2-0-0
